n,d,noise,kind,seed,method,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
2000,5,gauss,null_gauss,400000,k1,0.0,49,0.027388041510873595,0.02825028072132796,0.02825028072132796,0.026820909920217684,0.026820909920217684,0.02665849358176997,0.02665849358176997,0.025934111363700496,0.025934111363700496,0.025798521648147443,0.025798521648147443,0.025776494008847073,0.025776494008847073,0.025416503171701854,0.025416503171701854,0.025371439417431918,0.025371439417431918,0.025200485794574456,0.025200485794574456,0.025170688448755585,0.025170688448755585
2000,5,gauss,null_gauss,400000,k1,0.01,199,0.028024354221509284,0.028092383822489908,0.02730470486325065,0.02610519148193302,0.025762855946538377,0.025272738332047573,0.024989451033869403,0.024762876537878342,0.02474445744342313,0.024673749593665972,0.024644136310468023,0.024565185153894498,0.024492648507803638,0.024320048477866618,0.024254644063885222,0.024195254906322572,0.0239728955679952,0.02396021240532098,0.02391193203808828,0.023755908520922686,0.023712722911215733
2000,5,gauss,null_gauss,400000,k1,0.05,49,0.03328551767019039,0.028233883016243744,0.028233883016243744,0.028105048076116135,0.028105048076116135,0.027486275365833812,0.027486275365833812,0.027209943844871076,0.027209943844871076,0.027185551089220272,0.027185551089220272,0.027146772052169754,0.027146772052169754,0.02646344382660848,0.02646344382660848,0.026426383466318426,0.026426383466318426,0.02633993145091973,0.02633993145091973,0.02625975298528116,0.02625975298528116
2000,5,gauss,null_gauss,400000,k2,0.0,49,1.107742380342988,1.0869749891765055,1.0869749891765055,1.0618984819120294,1.0618984819120294,1.0527290087452714,1.0527290087452714,1.0322493944678426,1.0322493944678426,1.0294975832275204,1.0294975832275204,1.0294688880520229,1.0294688880520229,1.0218868975793927,1.0218868975793927,1.0217117999251701,1.0217117999251701,1.0163183368279727,1.0163183368279727,1.0148847474774085,1.0148847474774085
2000,5,gauss,null_gauss,400000,k2,0.01,199,1.0829428095737237,1.0432770485504912,1.0335851938532141,1.021776057069389,1.0197635186016607,1.0170636049765371,1.0153896772623128,1.013941106731294,1.0108036097002497,1.0102166885946982,1.0083753973702188,1.0053365881146055,1.0025504498823947,0.9996741299293572,0.9979193470199853,0.9965967116754745,0.9953771581861961,0.9930448093562712,0.992652456893792,0.9924368395601973,0.991756229197978
2000,5,gauss,null_gauss,400000,k2,0.05,49,1.0950849614417888,1.1428348155173895,1.1428348155173895,1.0940900618160176,1.0940900618160176,1.0530206311434374,1.0530206311434374,1.0529594421739228,1.0529594421739228,1.042440498948298,1.042440498948298,1.0397226378668456,1.0397226378668456,1.0371520270722243,1.0371520270722243,1.0352113622420418,1.0352113622420418,1.0329276405736187,1.0329276405736187,1.032480469858863,1.032480469858863
2000,5,gauss,null_gauss,400000,hsic,0.0,199,0.0014810469754142372,0.004338713294629046,0.0028948254777386227,0.002880503426998492,0.0025909306385062596,0.002557941954963848,0.0024959092422705315,0.002427592462977546,0.0023331901766934157,0.0021809944350941117,0.0020503491650251744,0.0020098767406276463,0.0018469065063613844,0.0018362029400914078,0.0017528322224863438,0.0017074629372929413,0.001615582691674549,0.0015758670019793185,0.0014975314359189466,0.0013851184551787585,0.0013139724820511174
2000,5,gauss,null_gauss,400001,k1,0.0,49,0.004556717290216783,0.010291392440958225,0.010291392440958225,0.010083565507699621,0.010083565507699621,0.008842523143856362,0.008842523143856362,0.008476408740145436,0.008476408740145436,0.0070567532902952035,0.0070567532902952035,0.006781168187367292,0.006781168187367292,0.0066019456658638065,0.0066019456658638065,0.006533661027309123,0.006533661027309123,0.006504643320023873,0.006504643320023873,0.006311130231114959,0.006311130231114959
2000,5,gauss,null_gauss,400001,k1,0.01,199,0.004784320032671485,0.011048437074069106,0.01020415406456976,0.009529300720299783,0.008981853296361808,0.008555900190369004,0.00848032131550569,0.008364013222151745,0.008124825431837568,0.008091461479358908,0.007936629476122503,0.007853853871175542,0.007726536917018967,0.007644290431464973,0.007472982598317746,0.007359014736805669,0.0072741516753218605,0.007185100019215684,0.007070307781945395,0.006960217291641535,0.006878753010179817
2000,5,gauss,null_gauss,400001,k1,0.05,49,0.005206102298086601,0.013070425719518663,0.013070425719518663,0.010026604708879616,0.010026604708879616,0.008812141291996478,0.008812141291996478,0.008689314403647841,0.008689314403647841,0.008406023211415259,0.008406023211415259,0.008071325821882858,0.008071325821882858,0.007958748093839008,0.007958748093839008,0.007881641146750273,0.007881641146750273,0.00782812625345064,0.00782812625345064,0.007474322130832323,0.007474322130832323
