n,d,noise,kind,seed,method,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
500,3,t3,null_nonparam,400000,k1,0.01,199,0.00886237945585766,0.01717070164571577,0.01413348387217761,0.013545991794483903,0.01262556998472053,0.01239532753996253,0.011677965514539812,0.010853276343564588,0.010709058999026633,0.01057832996348318,0.010428911388961293,0.010325663168024302,0.010232144461834514,0.010140017889776476,0.009965040624828947,0.00983030106191396,0.009563848043543155,0.009462013884834919,0.009335683406149431,0.009272890805837819,0.009189016944525119
500,3,t3,null_nonparam,400000,k2,0.01,199,1.0494270882519918,1.678930394135562,1.5612441738708598,1.5392274254561356,1.4963052204743401,1.4658735761228103,1.4398329419086817,1.4156098504591612,1.4005510823406762,1.3931351477034086,1.3889931499276966,1.3670438408154308,1.3533614656298354,1.342971647042825,1.318888775650625,1.2934140103019054,1.2799757006120558,1.2564792469182835,1.251364396191877,1.2363677881830688,1.2152656722530177
500,3,t3,null_nonparam,400000,hsic,0.0,199,0.00022797477085335943,0.006889188976122704,0.0061749761785820905,0.005963198414233768,0.005376595743079649,0.004910163866625729,0.004333001244165011,0.004158761170481522,0.004103954010214258,0.003941660457254985,0.003798688754250075,0.003613844137447169,0.003336596076618215,0.003176212284997728,0.0029634719915579617,0.0028642438318604987,0.0027669715723379574,0.0026731246963971403,0.0025665633505527526,0.002550028565010342,0.0025235081829469122
500,3,t3,null_nonparam,400001,k1,0.01,199,0.005982541063501934,0.014048766144138192,0.013645864448435185,0.012581728241952916,0.012102229471848247,0.011315093060707326,0.011049393138154562,0.010595597057092343,0.010458562251963177,0.010397213481481482,0.010235212588468934,0.01019062450905961,0.010001992981643504,0.009775632648657773,0.009730957516496996,0.00972372517330633,0.009346819138509321,0.009303511728228964,0.009150559713457684,0.008855628533068538,0.008798423593366689
500,3,t3,null_nonparam,400001,k2,0.01,199,1.0438422375966185,1.6430038070295145,1.598117259753761,1.576311475276074,1.5577435662790706,1.523670793983202,1.4844843623469248,1.4401146891386885,1.4307927644809884,1.400402598712422,1.3889493398419754,1.3689104532555774,1.3556680736065656,1.354170388949238,1.3510916980707082,1.3437847212707519,1.3423316670534657,1.338271561851674,1.335745867890009,1.3281819859731363,1.3248050692234858
500,3,t3,null_nonparam,400001,hsic,0.0,199,0.006611347486550709,0.005389271014886457,0.005039811045866971,0.004967498160341303,0.004624391627460159,0.004220033263918892,0.004030984902406281,0.0037550423908530193,0.0036654205256505036,0.003486777004419041,0.003360304365228132,0.003291423855300246,0.0032049524790049846,0.003185848000451838,0.003113740238174871,0.003071749672257717,0.0029547703442168523,0.002842470232187704,0.002695965816740818,0.0026714939134856956,0.0026365572445506413
500,3,t3,null_nonparam,400002,k1,0.01,199,0.007378821944296954,0.017001447315235896,0.016139783152367526,0.014894966780640062,0.013768656711748761,0.013450952245076642,0.013070762237388567,0.012785164507364,0.0124922223745636,0.012126787729010213,0.012051616219181827,0.011777937544754424,0.011378698919975672,0.01127540001303684,0.011174565359456157,0.011120034425873726,0.011063462570311544,0.010956481114206662,0.010750898301403855,0.010587347747595732,0.010299058396986749
500,3,t3,null_nonparam,400002,k2,0.01,199,0.322719342941176,0.6152711988576681,0.603452541611567,0.5690838299162589,0.5612894075298878,0.5275628246895748,0.5002967358855777,0.49733357926185195,0.4948355255735258,0.4931728521027803,0.488306119980819,0.48200758635789603,0.47734033647775975,0.4739073445030414,0.4710223209274868,0.4692622445792203,0.46690469698993153,0.4607881074443056,0.45220170576738256,0.45154914243234484,0.44990248884435186
500,3,t3,null_nonparam,400002,hsic,0.0,199,0.0029437153224667165,0.004313838315371225,0.00427330441055079,0.0038693668471147993,0.003675787801788132,0.0034369019321499835,0.0032252900390247466,0.0029936285644301714,0.0029634110244802546,0.002855906087624319,0.0028011271324403357,0.0026586059421773666,0.002558132476258134,0.002471242441853615,0.0024071067797876277,0.0023743017751419963,0.002349002152521651,0.0022290263139331033,0.0021724318470577905,0.002110119020956616,0.002056532016460181
500,3,t3,null_nonparam,400003,k1,0.01,199,0.005667386503618088,0.015169790861422228,0.01501400642647166,0.013018917929314422,0.012192719068615299,0.012075637089229319,0.011684968717443733,0.01157774031476888,0.011420051140293541,0.01103963301523092,0.010671537264865028,0.010549516636609524,0.010413628537996544,0.010274103391644474,0.010098797289066486,0.010075020271866353,0.010001091190280254,0.009960114709866796,0.00983563505148033,0.009680036129407932,0.009340893197464784
