n,d,noise,kind,seed,method,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
8000,5,gauss,null_gauss,400000,k1,0.0,49,0.029047014760640755,0.059566682525831194,0.059566682525831194,0.05576545992524473,0.05576545992524473,0.04082050398354298,0.04082050398354298,0.03787680070993671,0.03787680070993671,0.0356834820576023,0.0356834820576023,0.03396519935806952,0.03396519935806952,0.033853137234968966,0.033853137234968966,0.03174892255819539,0.03174892255819539,0.027513358245046082,0.027513358245046082,0.026212156267894415,0.026212156267894415
8000,5,gauss,null_gauss,400000,k1,0.01,49,0.02910511151691242,0.05241984455871307,0.05241984455871307,0.04987572564994258,0.04987572564994258,0.04237382858509986,0.04237382858509986,0.04141945576695438,0.04141945576695438,0.036234466169068114,0.036234466169068114,0.035955226581757205,0.035955226581757205,0.03519808178498318,0.03519808178498318,0.035140533323926304,0.035140533323926304,0.03434250439247899,0.03434250439247899,0.031627587791319356,0.031627587791319356
8000,5,gauss,null_gauss,400000,k1,0.05,199,0.028447534447945122,0.05808254283711323,0.056876820650657245,0.04906628374290345,0.04891909059695854,0.04642557160002336,0.04399622145544313,0.04264671172289358,0.039306265160284015,0.0369744342081032,0.0363827272992131,0.035504871167670427,0.032904608134071256,0.03278220998599324,0.03168042754213518,0.030310929554053123,0.029891604815906025,0.029378177787671378,0.028840314304536263,0.02792150706840657,0.027427671008619536
8000,5,gauss,null_gauss,400000,k2,0.0,49,0.07850284831964809,0.2347986304736849,0.2347986304736849,0.22620147669924925,0.22620147669924925,0.19180162060920555,0.19180162060920555,0.1713657157491092,0.1713657157491092,0.16242453922728334,0.16242453922728334,0.15556378601281992,0.15556378601281992,0.1474735593335546,0.1474735593335546,0.14364652818291057,0.14364652818291057,0.14337956330601134,0.14337956330601134,0.13998393071912646,0.13998393071912646
8000,5,gauss,null_gauss,400000,k2,0.01,49,0.07151234751580487,0.20036213345890466,0.20036213345890466,0.15087069551706592,0.15087069551706592,0.13604137452936724,0.13604137452936724,0.13445364743370197,0.13445364743370197,0.12668355135198417,0.12668355135198417,0.11984717264363809,0.11984717264363809,0.11854148086934159,0.11854148086934159,0.11529283840665105,0.11529283840665105,0.11349895463536484,0.11349895463536484,0.11308070519930885,0.11308070519930885
8000,5,gauss,null_gauss,400000,k2,0.05,199,0.07872146048348234,0.13862325793443214,0.13166684623097474,0.12106254642563177,0.11805445310409449,0.10846713957565585,0.101013357179764,0.09930690573782952,0.09552144248649926,0.09422960753468194,0.09132239575443869,0.08999027564806529,0.08971652989141317,0.08879538903086923,0.08702599981080339,0.08634380273095715,0.085591951264474,0.08530881437026208,0.08438578570039657,0.08337953489916423,0.0823741490643547
8000,5,gauss,null_gauss,400000,hsic,0.0,199,0.0005086785127030478,0.00292851140489355,0.0027693958540412084,0.0027234496905991367,0.002569009254375622,0.0025435311412495745,0.00252173682498787,0.002459915143989247,0.0024321767152688197,0.0023990806314895946,0.002273965134089398,0.0022531069424731997,0.002202489946990652,0.0021831990695129625,0.0021187380251934487,0.0020798496455455445,0.0020476292529962047,0.0019358384660720755,0.0018744800805046927,0.001869879292082193,0.0017926737378264712
8000,5,gauss,null_gauss,400001,k1,0.0,49,0.0013462484100773553,0.06447287673441227,0.06447287673441227,0.05879480401371384,0.05879480401371384,0.05484513544240721,0.05484513544240721,0.0520419983271897,0.0520419983271897,0.04976561959011927,0.04976561959011927,0.03604343390311693,0.03604343390311693,0.03518637978468586,0.03518637978468586,0.03510239696570272,0.03510239696570272,0.03417190001458004,0.03417190001458004,0.03287891396682774,0.03287891396682774
8000,5,gauss,null_gauss,400001,k1,0.01,49,0.0023945433503697044,0.05495837288630967,0.05495837288630967,0.04889412290391271,0.04889412290391271,0.035267785757391534,0.035267785757391534,0.03524442878667211,0.03524442878667211,0.03390672684361673,0.03390672684361673,0.033246946473589944,0.033246946473589944,0.033004881373124406,0.033004881373124406,0.02653526084124036,0.02653526084124036,0.025362971007484192,0.025362971007484192,0.023628103145369672,0.023628103145369672
8000,5,gauss,null_gauss,400001,k1,0.05,199,0.0018804704985524445,0.05443433974308021,0.048920497175562905,0.04309665352535219,0.041327977960398554,0.037830579132719366,0.03761653499810824,0.034429855881058624,0.033011982212957425,0.03138472356399635,0.03087326276524982,0.029324144308265576,0.027316521181571685,0.027036408065042483,0.026080881699730663,0.025639436650971348,0.024159303904043194,0.022489962165565203,0.02188978731618929,0.020611097592958316,0.018522741024767475
