n,d,noise,kind,seed,method,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
500,3,t3,null_nonparam,400000,k1,0.05,199,0.007903494578759829,0.016346435608475707,0.014307564872975687,0.012607277448774656,0.012230786876492261,0.01141680553242952,0.010763379505345116,0.010351846240597817,0.009621819848036783,0.009224978420548813,0.008933582669672147,0.008744888915938054,0.008502803760990663,0.008206603678586166,0.008168901789739058,0.00812761928088701,0.007777996079124994,0.0075353742988854,0.007285917602104175,0.00716935790733364,0.007141622082831645
500,3,t3,null_nonparam,400000,k2,0.05,199,0.34222880368589503,0.48218230218114916,0.4102258447494725,0.39330103907641323,0.3430900555746208,0.33124034650813616,0.3254084988352637,0.2752500883189012,0.2555670801813809,0.2455442969420634,0.2369758531975817,0.22861042618880867,0.2189310125235974,0.21420897372811487,0.20914919803636925,0.20162841932718864,0.19836085748859753,0.1943802696470601,0.18938586988635814,0.18608167708186776,0.18299758310324968
500,3,t3,null_nonparam,400000,hsic,0.0,199,0.00022797477085335943,0.006358315507729704,0.005755566126866918,0.005500940082417314,0.005297903218396352,0.005137602491557376,0.004812441174739647,0.004664182921443712,0.004450877594903673,0.004386648426570855,0.004172770004440238,0.004066354208609628,0.003866576885400365,0.003815132539090672,0.0037969138423321076,0.0036492493198937498,0.0036016854510393286,0.0035489700996498147,0.0033112562409584874,0.0030925006351181766,0.00306928050180159
500,3,t3,null_nonparam,400001,k1,0.05,199,0.002072185938344795,0.017104877891813364,0.01441953143290764,0.013812719019567932,0.012334700244474694,0.012156794246296565,0.011530656467682587,0.011310974669073826,0.011032179789343566,0.010844141840026689,0.01046449259646487,0.010378579636577179,0.010330563473018195,0.00972606967548606,0.009389699539823604,0.00937802333810156,0.00909767005032669,0.008282461716255685,0.00815708818826244,0.00812140279571627,0.007781117586717623
500,3,t3,null_nonparam,400001,k2,0.05,199,0.174514560687073,0.5480040587556951,0.32676892500129207,0.29458739239024695,0.2850693529526524,0.25621653131255073,0.25187874800627014,0.23585664403973147,0.2340713649145699,0.22704308562871395,0.22208882478188188,0.20946972924754562,0.1973592696909924,0.19159684385137843,0.1862135293975233,0.18530609879746002,0.18302087214020568,0.17903906288693036,0.17638203747101946,0.17386581630293876,0.1716138978202291
500,3,t3,null_nonparam,400001,hsic,0.0,199,0.006611347486550709,0.018000617359418516,0.016239879016298954,0.015405524191741736,0.014603821651039448,0.014061894054732772,0.013722782349358706,0.013310188914805406,0.013087289057406457,0.012851390278247114,0.012588147425321185,0.01242654653325262,0.012105195781748833,0.011730118386104986,0.011409480313060636,0.0112011552311518,0.011180393272059348,0.010885466082516006,0.010731362584691151,0.010318112952297913,0.01017691838528636
500,3,t3,null_nonparam,400002,k1,0.05,199,0.005007718096945224,0.017317716086336477,0.013416933267880404,0.013181453825755751,0.012399877903237821,0.011851659221123523,0.011518013149288464,0.010448457095158514,0.009977011459213925,0.009709621073852759,0.009584333491417074,0.009001203551665338,0.008880604134680947,0.008768844163594358,0.008454189235522658,0.008350184490478862,0.008207054754958643,0.00796557538839704,0.007819588426597801,0.007769355453690174,0.007602831448192626
500,3,t3,null_nonparam,400002,k2,0.05,199,0.24441614990997165,0.4387906338773079,0.32196506178292966,0.30244278614698894,0.272673295980501,0.25989078630226564,0.2576526599749706,0.2393234586408276,0.22536397464879218,0.20812085492328508,0.19630107746531653,0.1913692646135542,0.18459873400078156,0.18272501432977506,0.17749356501838215,0.1770407259944142,0.1729440240862718,0.1709323243540915,0.1686884859258447,0.16719972694833357,0.16178329098949187
500,3,t3,null_nonparam,400002,hsic,0.0,199,0.0029437153224667165,0.010587044085452506,0.00919268063554873,0.008496671392286452,0.00786055001265495,0.007487851967009517,0.007387172935011372,0.0071042481606481125,0.006990847895099645,0.006577474299011297,0.006386790582371222,0.006245116646381749,0.0061308159968408785,0.006036441387412284,0.005884998768742117,0.005869492502626837,0.005750700986265093,0.005667474494717648,0.005594827884939781,0.005563677473321494,0.0054687389717989155
500,3,t3,null_nonparam,400003,k1,0.05,199,0.0027111775193738863,0.014365718154875529,0.012427151096366384,0.011731722586652893,0.011462902797832575,0.011385073685842517,0.011080284962051268,0.010931038693011152,0.010833570419093497,0.010216391970373828,0.010050650253320859,0.009896319218769656,0.009807634631498918,0.00954655031001217,0.00928381582201876,0.00905040146908942,0.008903000892996227,0.008515623069938694,0.007988943326603937,0.007783792945182499,0.007736198423917484
500,3,t3,null_nonparam,400003,k2,0.05,199,0.15267450113722572,0.45970379354612295,0.41151656279148296,0.38299999059581513,0.32699958679913327,0.3247905329222097,0.29411990948359706,0.2750885429323791,0.2697988631266206,0.2624221913276792,0.2542060855192038,0.24831991619124807,0.23659550635515897,0.23403510519848447,0.22854818429273793,0.2270422166907218,0.21972097133201995,0.2183748765897281,0.21748804525560297,0.21377474598172697,0.20942096669126342
500,3,t3,null_nonparam,400003,hsic,0.0,199,0.000799068942767665,0.0074801262012457416,0.006186645219302985,0.005949551104184569,0.005765387443986959,0.005743828131066349,0.005385162553691923,0.005298167969877528,0.005167174107311368,0.005012484479225297,0.004924422890130943,0.00478786549501013,0.004696872284687191,0.004681984708515191,0.004655597637491532,0.004570786648353468,0.004519381727304004,0.004363689071249755,0.00422781213117329,0.0041617812552319266,0.004120915825760335
500,3,t3,null_nonparam,400004,k1,0.05,199,0.006442027806259576,0.014358342171941318,0.013221233188144388,0.012473378413078495,0.012137924292842883,0.011429802102962738,0.011100531331516339,0.010221645984705763,0.009501556906407083,0.009405313287870865,0.00927838637757783,0.009024017573800669,0.008874291855218042,0.00875901070906182,0.008245644383068074,0.008110304806007274,0.007992340365635786,0.00791469431440217,0.007810989489336229,0.007549593557653833,0.007464758275523953
500,3,t3,null_nonparam,400004,k2,0.05,199,0.3147291931669941,0.3033516936599097,0.29483608386872096,0.2763629764093233,0.264522605152962,0.2610086206375816,0.24790244667450156,0.2416448170997672,0.23193894201501788,0.2287933878680211,0.21770886996309724,0.2068004467089928,0.19871235014266725,0.19706573292524382,0.1941373483586402,0.19267106060039213,0.19116426045974969,0.18687903379309287,0.18124689607904673,0.17954275935602199,0.17810043125539715
500,3,t3,null_nonparam,400004,hsic,0.0,199,0.0012716059967164451,0.0052167897721982865,0.004958571784332771,0.0049078457292093935,0.004587966217955773,0.00425634621892197,0.0041687328942929935,0.004112045837632098,0.004085600823618063,0.0040016172524281095,0.003975468057376774,0.0036104695383270408,0.0035301142603908747,0.0035246517260615943,0.0035010892186567253,0.0034741624240109885,0.0033396003922707973,0.0033009978320951523,0.003267527066089423,0.0032236639738239155,0.0031691083397425166
500,3,t3,null_nonparam,400005,k1,0.05,199,0.0009068431225691675,0.01566365298221306,0.01528509391541133,0.014447029094559194,0.01277763619547867,0.011888649425233822,0.01135887972645433,0.010770292697131034,0.01009604171832934,0.010026435475560258,0.009345655998427405,0.00923011862608425,0.00913933696637037,0.008887285089025365,0.008780060007237966,0.008707997539777357,0.008647144295496734,0.008220875782704806,0.007857528020671523,0.007710166815315778,0.007526435777052254
500,3,t3,null_nonparam,400005,k2,0.05,199,0.06963832705971788,0.36305612303157364,0.31429915874123804,0.30041979742774283,0.2867809102487701,0.2518565394037162,0.24055253368638801,0.23680244352086882,0.2289336997248561,0.22670848774650237,0.22216322358730745,0.21881941665620594,0.20841958731002702,0.2048080328240242,0.20115863536450848,0.19848520440707723,0.19793779859727662,0.1919360316133706,0.1864709725869245,0.1837119858707735,0.1795510533663211
500,3,t3,null_nonparam,400005,hsic,0.0,199,0.0011988247906764018,0.0055395577811445254,0.005438251089443831,0.004746978695173076,0.004499408073892794,0.0043169822478430426,0.00421892624150824,0.003925659660200557,0.003851344144180229,0.003754570378584188,0.0037023470436239048,0.0036352161082875765,0.0035924242678225388,0.0035674198967702146,0.003476069307967714,0.0034465168079835817,0.0032317674293722612,0.003111330843563487,0.0030208287415887654,0.002933119055271862,0.0029149391172402354
500,3,t3,null_nonparam,400006,k1,0.05,199,0.0013911590673280072,0.017410776772235348,0.014575985792752988,0.013588958199602152,0.013410638508532413,0.012498585592537803,0.011426393726635342,0.01132785707680839,0.011244412927890912,0.011075096448104227,0.010749190071626669,0.01048550110459423,0.010030232294758523,0.009642197932593355,0.009524338419409362,0.0092947772438976,0.009204195696589146,0.008978011694695143,0.008898151046133007,0.008778568864062142,0.00862668791834964
500,3,t3,null_nonparam,400006,k2,0.05,199,0.07595237861841396,0.4846318389476722,0.38265235848831153,0.3468776533947755,0.3300203502705187,0.3153941317225266,0.3069979854096523,0.2893028569822762,0.2824119807692555,0.2738303022459467,0.2668058341522452,0.2656042027529758,0.2627507296787081,0.2603918216801989,0.2587413501382845,0.2516480189760701,0.2344176624961347,0.22940737781500206,0.22590856660252187,0.22246937627502672,0.2137227022173456
500,3,t3,null_nonparam,400006,hsic,0.0,199,0.00148037191044134,0.006235282600611147,0.00550831299869809,0.005331450112957164,0.005073915738724615,0.005024009588308224,0.00491314120229404,0.004794032959376109,0.00458548471180068,0.004530091011753086,0.0041840793269674326,0.004088984497978534,0.004043615735175438,0.004018006011459866,0.003894750167297284,0.0038211197636216928,0.003794471742806313,0.0035840320974025917,0.003534004257073749,0.0034022204406982206,0.0033355899528932174
