cell,n,tail,stat,engine,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
2-2-4,500,none,cf1_margin,para_boot,0.013043745810803033,0.01119146868994793,0.010328943984136812,0.010019955117827039,0.009719201401718778,0.009306158013799453,0.009178838920670033,0.008824983221066278,0.008448203386936224,0.008041352945279226,0.007863615365160264,0.007726757825690077,0.007552089474580244,0.0072430012970769175,0.006947500790761777,0.0068415793051112665,0.0066974320527556815,0.006574336877261989,0.006472165163991685,0.006346813847943269
2-2-4,500,none,gm_battery,crt_cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,500,none,gm_battery,para_boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,500,none,gtest,crt_cond,299.1741218500894,297.9593632410013,296.5596855374011,296.0815292135691,295.64577908655974,295.15872147630273,294.8865575392035,294.4061193074101,294.1560149567647,294.01246464893603,293.70007115663594,293.5755123605211,293.4266808358552,293.19571297276354,293.0146522946746,292.81023405483006,292.6776228256372,292.4978760549095,292.26326393984687,292.0912440830714
2-2-4,500,none,gtest,para_boot,309.3308376975497,305.75526543546897,304.3991489945053,303.4896923084418,302.5233982284657,301.50064226663244,300.74375777031764,300.11508284973183,299.4881842639081,298.8739720778179,298.41691368757716,298.06019295833653,297.63660973256236,297.2183901298005,296.9816470122023,296.65997659081563,296.3356764242385,296.0023600662136,295.7197996850026,295.3280147603302
2-2-4,500,none,kl_crossfit,para_boot,0.08039317831148633,0.06315425143201832,0.05364108910043352,0.04652252065442661,0.04249633167142654,0.03827976752023699,0.03519679617814974,0.03293099972429756,0.030964029745854906,0.029081255027568184,0.027523653815861873,0.025897615278814106,0.024719594982303562,0.023842234731661967,0.022471051048657667,0.021552657890142407,0.020601511065074216,0.019439861817872814,0.01870755156872169,0.017995518834724774
2-2-4,500,none,kl_plugin,crt_cond,0.002005760450914983,0.0014614531849930735,0.0013541536467874878,0.0011855591825315976,0.001039515422769763,0.0009488989880084198,0.0009223965813725941,0.0008817348446042484,0.0008080169959900725,0.0007732082447058949,0.0007495452331740071,0.0007165020686414374,0.0006646497421191858,0.0006384380870279096,0.0006146070016099499,0.0005952007375930561,0.0005615152304223535,0.0005421402201300598,0.0004994672751892465,0.0004596699211614797
2-2-4,500,none,kl_plugin,para_boot,0.0018162467993678448,0.0013317449151601273,0.0011176308051698623,0.0010586932627967129,0.000992828001191796,0.0009092202451134895,0.0008852259929223775,0.0008187132567371468,0.0007456829840632226,0.0006775218944344794,0.0006464418851912512,0.0006256279957641633,0.000601434666092765,0.0005470281547620773,0.0005040696386545046,0.0004901966386523512,0.0004725907485717074,0.00045615919763459546,0.00044002828373217336,0.00042472785549939703
2-2-4,500,none,kl_split,para_boot,0.07983516002138037,0.06326119064613657,0.05343298553905497,0.04633478456005751,0.04247509717330041,0.038417640631171056,0.035196484130118916,0.03292717391405425,0.031057722670298857,0.029066674380807987,0.027400392104935556,0.025919191279325553,0.024818383560793886,0.023884388161615037,0.022444562829487882,0.021649462326457876,0.020702552511514358,0.019491052166967882,0.01874868959052838,0.017893826909523715
2-2-4,500,none,slack_plugin,para_boot,0.026087491621606018,0.02238293737989583,0.0206578879682736,0.02003991023565406,0.019438402803437553,0.018612316027598903,0.018357677841340073,0.01764996644213257,0.016896406773872438,0.01608270589055846,0.015727230730320535,0.015453515651380161,0.01510417894916049,0.014486002594153839,0.01389500158152356,0.013683158610222537,0.013394864105511365,0.013148673754523985,0.012944330327983374,0.012693627695886545
2-2-4,500,t3,cf1_margin,para_boot,0.38441384865090455,0.38358725101441443,0.3832995989938949,0.383106397200742,0.3826124424286561,0.3822188868068418,0.3819749130346503,0.3815678774224145,0.3814107712090821,0.3812508458865508,0.3811517876131004,0.3810706388373482,0.38102594613547314,0.38077478347933474,0.34681315747807573,0.3150728722429394,0.31474149523038353,0.31452392034379917,0.30807904007707765,0.30774447612336675
2-2-4,500,t3,gm_battery,crt_cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,500,t3,gm_battery,para_boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
