arm,cell,Q,n,rep,method,seconds,peak_bytes
discrete,2-2-4,64,8000,9,slack_lp,0.0039789440052118,87230
discrete,2-2-4,64,8000,10,stats_all,0.0106081289995927,90368
discrete,2-2-4,64,8000,10,cf1_lp,0.0026879649958573,39192
discrete,2-2-4,64,8000,10,slack_lp,0.0040364619999309,87230
discrete,2-2-4,64,8000,11,stats_all,0.0107261839948478,90208
discrete,2-2-4,64,8000,11,cf1_lp,0.0028935230002389,39192
discrete,2-2-4,64,8000,11,slack_lp,0.0041134460043394,87230
discrete,2-2-4,64,8000,12,stats_all,0.0107503290055319,90458
discrete,2-2-4,64,8000,12,cf1_lp,0.002851149001799,39192
discrete,2-2-4,64,8000,12,slack_lp,0.0033819649979704,87230
discrete,2-2-4,64,8000,13,stats_all,0.0107173760043224,90252
discrete,2-2-4,64,8000,13,cf1_lp,0.002796025997668,39192
discrete,2-2-4,64,8000,13,slack_lp,0.0036862659981125,87230
discrete,2-2-4,64,8000,14,stats_all,0.0115504509958554,90428
discrete,2-2-4,64,8000,14,cf1_lp,0.0026249949951306,39192
discrete,2-2-4,64,8000,14,slack_lp,0.0033013520005624,87230
discrete,2-2-4,64,8000,15,stats_all,0.011255395002081,90266
discrete,2-2-4,64,8000,15,cf1_lp,0.0029832110012648,39192
discrete,2-2-4,64,8000,15,slack_lp,0.0037925840006209,87230
discrete,2-2-4,64,8000,16,stats_all,0.0122465619933791,90252
discrete,2-2-4,64,8000,16,cf1_lp,0.0027236440000706,39192
discrete,2-2-4,64,8000,16,slack_lp,0.0034983759978786,87230
discrete,2-2-4,64,8000,17,stats_all,0.0113059360010083,90380
discrete,2-2-4,64,8000,17,cf1_lp,0.0025798179995035,39192
discrete,2-2-4,64,8000,17,slack_lp,0.0032447049961774,87230
discrete,2-2-4,64,8000,18,stats_all,0.0109692460027872,90220
discrete,2-2-4,64,8000,18,cf1_lp,0.0032986750011332,39192
discrete,2-2-4,64,8000,18,slack_lp,0.0046050119999563,87230
discrete,2-2-4,64,8000,19,stats_all,0.0118121100022108,90298
discrete,2-2-4,64,8000,19,cf1_lp,0.0025413830007892,39192
discrete,2-2-4,64,8000,19,slack_lp,0.0037071609986014,87230
discrete,2-2-5,100,500,0,stats_all,0.0160616360008134,155052
discrete,2-2-5,100,500,0,cf1_lp,0.0038726319980924,66808
discrete,2-2-5,100,500,0,slack_lp,0.0043335549999028,150238
discrete,2-2-5,100,500,1,stats_all,0.0146084889929625,155120
discrete,2-2-5,100,500,1,cf1_lp,0.0037751549971289,66808
discrete,2-2-5,100,500,1,slack_lp,0.0046550210026907,150238
discrete,2-2-5,100,500,2,stats_all,0.0174386520011466,155226
discrete,2-2-5,100,500,2,cf1_lp,0.0038856519968248,66808
discrete,2-2-5,100,500,2,slack_lp,0.0050302069939789,150238
discrete,2-2-5,100,500,3,stats_all,0.0130917640053667,155292
discrete,2-2-5,100,500,3,cf1_lp,0.0036857009981758,66808
discrete,2-2-5,100,500,3,slack_lp,0.0043530669936444,150238
discrete,2-2-5,100,500,4,stats_all,0.0173101700056577,155352
discrete,2-2-5,100,500,4,cf1_lp,0.0038514699990628,66808
discrete,2-2-5,100,500,4,slack_lp,0.0044746439962182,150238
discrete,2-2-5,100,500,5,stats_all,0.016687183000613,155326
discrete,2-2-5,100,500,5,cf1_lp,0.0033041889982996,66808
discrete,2-2-5,100,500,5,slack_lp,0.0041367109952261,150238
discrete,2-2-5,100,500,6,stats_all,0.0164441439992515,155236
discrete,2-2-5,100,500,6,cf1_lp,0.0034947679960168,66808
discrete,2-2-5,100,500,6,slack_lp,0.0048616210042382,150238
discrete,2-2-5,100,500,7,stats_all,0.016596262998064,155236
discrete,2-2-5,100,500,7,cf1_lp,0.0036682439967989,66808
discrete,2-2-5,100,500,7,slack_lp,0.0048721080020186,150238
discrete,2-2-5,100,500,8,stats_all,0.0137775059993145,155238
discrete,2-2-5,100,500,8,cf1_lp,0.003421798995987,66808
discrete,2-2-5,100,500,8,slack_lp,0.0044379320024745,150238
discrete,2-2-5,100,500,9,stats_all,0.0119136680004885,155220
discrete,2-2-5,100,500,9,cf1_lp,0.0038461099975393,66808
discrete,2-2-5,100,500,9,slack_lp,0.0050293040039832,150238
discrete,2-2-5,100,500,10,stats_all,0.0137173559996881,155340
discrete,2-2-5,100,500,10,cf1_lp,0.0040735850052442,66808
discrete,2-2-5,100,500,10,slack_lp,0.0045235130019136,150238
discrete,2-2-5,100,500,11,stats_all,0.0160019649993046,155398
discrete,2-2-5,100,500,11,cf1_lp,0.0036121169978287,66808
discrete,2-2-5,100,500,11,slack_lp,0.0049307989975204,150238
discrete,2-2-5,100,500,12,stats_all,0.0161493199993856,155258
discrete,2-2-5,100,500,12,cf1_lp,0.0034044589992845,66808
discrete,2-2-5,100,500,12,slack_lp,0.0041654890010249,150238
discrete,2-2-5,100,500,13,stats_all,0.0159818679967429,155374
