cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-5,A1_two_null_mixture,none,2000,900009,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900009,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900010,,kl_plugin,none,1.4560937969887357e-05
2-2-5,A1_two_null_mixture,none,2000,900010,,kl_split,none,0.0002827028180681663
2-2-5,A1_two_null_mixture,none,2000,900010,,kl_crossfit,none,0.0005694818555358194
2-2-5,A1_two_null_mixture,none,2000,900010,,cf1_margin,none,0.0029427170695246474
2-2-5,A1_two_null_mixture,none,2000,900010,,slack_plugin,none,0.005885434139049295
2-2-5,A1_two_null_mixture,none,2000,900010,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900010,,gtest,none,2676.7731919701273
2-2-5,A1_two_null_mixture,none,2000,900011,,kl_plugin,none,0.0005195543648404671
2-2-5,A1_two_null_mixture,none,2000,900011,,kl_split,none,0.0019447352200643794
2-2-5,A1_two_null_mixture,none,2000,900011,,kl_crossfit,none,0.001440687305645779
2-2-5,A1_two_null_mixture,none,2000,900011,,cf1_margin,none,0.02279202279202286
2-2-5,A1_two_null_mixture,none,2000,900011,,slack_plugin,none,0.04558404558404561
2-2-5,A1_two_null_mixture,none,2000,900011,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900011,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900012,,kl_plugin,none,9.287997585237908e-06
2-2-5,A1_two_null_mixture,none,2000,900012,,kl_split,none,0.0005792629895130358
2-2-5,A1_two_null_mixture,none,2000,900012,,kl_crossfit,none,0.0007011287642725724
2-2-5,A1_two_null_mixture,none,2000,900012,,cf1_margin,none,0.0030476190476190768
2-2-5,A1_two_null_mixture,none,2000,900012,,slack_plugin,none,0.0060952380952380425
2-2-5,A1_two_null_mixture,none,2000,900012,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900012,,gtest,none,0.00028571691892081974
2-2-5,A1_two_null_mixture,none,2000,900013,,kl_plugin,none,5.20539865034135e-07
2-2-5,A1_two_null_mixture,none,2000,900013,,kl_split,none,0.00275751997482801
2-2-5,A1_two_null_mixture,none,2000,900013,,kl_crossfit,none,0.0024996637093088366
2-2-5,A1_two_null_mixture,none,2000,900013,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900013,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900013,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900013,,gtest,none,1697.7590977789982
2-2-5,A1_two_null_mixture,none,2000,900014,,kl_plugin,none,1.0023048721438839e-05
2-2-5,A1_two_null_mixture,none,2000,900014,,kl_split,none,0.007887854565146023
2-2-5,A1_two_null_mixture,none,2000,900014,,kl_crossfit,none,0.011814694796421216
2-2-5,A1_two_null_mixture,none,2000,900014,,cf1_margin,none,0.002008225692436194
2-2-5,A1_two_null_mixture,none,2000,900014,,slack_plugin,none,0.004016451384872388
2-2-5,A1_two_null_mixture,none,2000,900014,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900014,,gtest,none,2173.8838708845974
2-2-5,A1_two_null_mixture,none,2000,900015,,kl_plugin,none,6.584134916167258e-10
2-2-5,A1_two_null_mixture,none,2000,900015,,kl_split,none,0.0009045446350125948
2-2-5,A1_two_null_mixture,none,2000,900015,,kl_crossfit,none,0.0013355551033946492
2-2-5,A1_two_null_mixture,none,2000,900015,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900015,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900015,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900015,,gtest,none,2717.220779398799
2-2-5,A1_two_null_mixture,none,2000,900016,,kl_plugin,none,1.801842939351192e-06
2-2-5,A1_two_null_mixture,none,2000,900016,,kl_split,none,0.014297009765915691
2-2-5,A1_two_null_mixture,none,2000,900016,,kl_crossfit,none,0.014199377670540865
2-2-5,A1_two_null_mixture,none,2000,900016,,cf1_margin,none,0.0013423269237222701
2-2-5,A1_two_null_mixture,none,2000,900016,,slack_plugin,none,0.0026846538474445403
2-2-5,A1_two_null_mixture,none,2000,900016,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900016,,gtest,none,2086.373033688497
2-2-5,A1_two_null_mixture,none,2000,900017,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900017,,kl_split,none,0.009063603476870047
2-2-5,A1_two_null_mixture,none,2000,900017,,kl_crossfit,none,0.009061039784352078
2-2-5,A1_two_null_mixture,none,2000,900017,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900017,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900017,,gm_battery,none,0.0
