cell,tail,family,rho,n,seed,dt_stats_s,stat,engine,stat_obs
2-2-8,t3,mixture,0.2,500,800000,0.010178869997616857,kl_plugin,none,0.006232443891129421
2-2-8,t3,mixture,0.2,500,800000,0.010178869997616857,kl_split,none,0.21317232995601731
2-2-8,t3,mixture,0.2,500,800000,0.010178869997616857,kl_crossfit,none,1.7185915857607208
2-2-8,t3,mixture,0.2,500,800000,0.010178869997616857,cf1_margin,none,0.07264443054018077
2-2-8,t3,mixture,0.2,500,800000,0.010178869997616857,slack_plugin,none,0.1452888610803611
2-2-8,t3,mixture,0.2,500,800000,0.010178869997616857,gm_battery,none,0.0
2-2-8,t3,mixture,0.2,500,800000,0.010178869997616857,gtest,none,76.20288522435204
2-2-8,t3,mixture,0.2,500,800001,0.009596347001206595,kl_plugin,none,0.0019252219379177382
2-2-8,t3,mixture,0.2,500,800001,0.009596347001206595,kl_split,none,0.16024329221606243
2-2-8,t3,mixture,0.2,500,800001,0.009596347001206595,kl_crossfit,none,0.17192290486143025
2-2-8,t3,mixture,0.2,500,800001,0.009596347001206595,cf1_margin,none,0.04038461538461546
2-2-8,t3,mixture,0.2,500,800001,0.009596347001206595,slack_plugin,none,0.08076923076923093
2-2-8,t3,mixture,0.2,500,800001,0.009596347001206595,gm_battery,none,0.0
2-2-8,t3,mixture,0.2,500,800001,0.009596347001206595,gtest,none,32.53043161058466
2-2-8,t3,mixture,0.2,500,800002,0.008979676000308245,kl_plugin,none,0.0041673947988623925
2-2-8,t3,mixture,0.2,500,800002,0.008979676000308245,kl_split,none,4.009960556513372
2-2-8,t3,mixture,0.2,500,800002,0.008979676000308245,kl_crossfit,none,2.0932510433149782
2-2-8,t3,mixture,0.2,500,800002,0.008979676000308245,cf1_margin,none,0.05828984343637067
2-2-8,t3,mixture,0.2,500,800002,0.008979676000308245,slack_plugin,none,0.11657968687274169
2-2-8,t3,mixture,0.2,500,800002,0.008979676000308245,gm_battery,none,0.0
2-2-8,t3,mixture,0.2,500,800002,0.008979676000308245,gtest,none,72.19284345815001
2-2-8,t3,mixture,0.2,500,800003,0.009876127995084971,kl_plugin,none,0.0020494584084146425
2-2-8,t3,mixture,0.2,500,800003,0.009876127995084971,kl_split,none,0.20099606551742416
2-2-8,t3,mixture,0.2,500,800003,0.009876127995084971,kl_crossfit,none,1.6974642709945287
2-2-8,t3,mixture,0.2,500,800003,0.009876127995084971,cf1_margin,none,0.04264856557377039
2-2-8,t3,mixture,0.2,500,800003,0.009876127995084971,slack_plugin,none,0.08529713114754092
2-2-8,t3,mixture,0.2,500,800003,0.009876127995084971,gm_battery,none,0.0
2-2-8,t3,mixture,0.2,500,800003,0.009876127995084971,gtest,none,68.05126521466627
