analysis,method,trim,B,stat_obs,cell,n_env,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20,K_strata
R1_card,kl_plugin,-1.0,199,0.0,2-2-4,2000.0,3.3050831903957785e-16,2.225155415306011e-16,2.0887093838669544e-16,2.0732083453424413e-16,1.991441502177378e-16,1.7869547726374479e-16,1.7034765373105938e-16,1.614530272495084e-16,1.5257376599680242e-16,1.3754622421477961e-16,1.2747634290518393e-16,1.148584473235716e-16,1.1208737564389617e-16,1.0772561043989081e-16,8.708414676225518e-17,7.85814791806523e-17,6.781785261947257e-17,6.559400419334911e-17,6.289386512528119e-17,6.055786329302011e-17,
R1_card,kl_split,-1.0,199,0.01816747991941072,2-2-4,2000.0,0.03461854369020573,0.034310658292499824,0.0335440289402176,0.0330404044220695,0.03276455817280446,0.032712423339142906,0.03248195445930712,0.03242121825922329,0.032315069393844084,0.032087930621452404,0.03183080411328443,0.03177180346822735,0.03168442014834503,0.031570987334699124,0.031386264616260234,0.031336902553300176,0.03126532579705775,0.03122806136180816,0.03119697645626064,0.031173690972195106,
R1_card,kl_crossfit,-1.0,199,0.01801705998456696,2-2-4,2000.0,0.03390389798590475,0.03359755512688937,0.033229636475286393,0.03281802008750902,0.03268185072053499,0.03232266965827542,0.032157846125968045,0.031935637598597216,0.03175702047074292,0.031591580240291656,0.03150507814072641,0.03145676096593421,0.031210959581071798,0.03116402294519222,0.031027977380505764,0.030897179618737045,0.030590890038953673,0.030542656516602085,0.03047272801090578,0.030361330719957412,
R1_card,cf1_margin,-1.0,199,0.0,2-2-4,2000.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,
R1_card,slack_plugin,-1.0,199,0.0,2-2-4,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
R1_card,gm_battery,-1.0,199,0.0,2-2-4,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
R1_card,gtest,-1.0,199,121.85704306219421,2-2-4,2000.0,174.2248709202494,167.96589360273927,166.18915793078165,164.45869387539173,158.93469954213833,153.94865255070988,151.96691805068292,151.61040788067916,150.0536740541199,148.53669916633913,148.3484107540377,147.3289839562478,146.082841451732,144.4125763526621,143.85657803549842,143.4926972663219,141.35241394142855,140.0285389151853,138.49154069940093,138.32386597627303,
R1_card,k1,0.05,199,0.005283703105507298,,,0.008222898842571547,0.007277947495048287,0.007115834879191429,0.00659568554970813,0.006389654202450634,0.006357603805015266,0.006227762341335041,0.006004217007859913,0.005941942995188132,0.005648481363573987,0.0055975011542234165,0.0054968578660022915,0.005364489720270149,0.005127736221521961,0.005062489357268718,0.005039216816786651,0.004998416351168489,0.004970088397415751,0.004807207421858473,0.004513115714994798,4.0
R1_card,k2,0.05,199,0.12857544334835888,,,0.1600117911272499,0.14774559487343816,0.1413355211062608,0.13707443686341778,0.1300470805633033,0.1254769152116072,0.11410237790968449,0.11311156669136524,0.11128062697168323,0.10794240234981715,0.10549937935537668,0.10371782812461863,0.09609894105091167,0.09348967679721415,0.09221725963912238,0.08916511540411842,0.08875523295459667,0.08593619699604658,0.08421727151594133,0.08348476451620922,4.0
R1_card,hsic,0.0,0,0.0007407287319146825,,,,,,,,,,,,,,,,,,,,,,,4.0
