analysis,method,trim,B,stat_obs,cell,n_env,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20,K_strata
R4_card_placebo,kl_plugin,-1.0,199,0.0,2-2-4,2000.0,2.880137593958673e-16,2.1750125927135428e-16,1.8578653418970657e-16,1.7616878730240739e-16,1.6136255745093508e-16,1.5424965827442648e-16,1.5361952657883135e-16,1.3194930353617416e-16,1.192701550018996e-16,1.1424328671818427e-16,1.0834854076246536e-16,1.0736526153780868e-16,1.0593708776291357e-16,9.891845009528012e-17,9.144211279760071e-17,9.079042288682304e-17,8.858433497902218e-17,7.92314047844517e-17,7.029291746976106e-17,6.255112345643192e-17,
R4_card_placebo,kl_split,-1.0,199,0.03141054777065564,2-2-4,2000.0,0.03495198796608789,0.034232847433219214,0.03342787891344705,0.03328309996004751,0.03271185198518982,0.0325809051692922,0.03252843882403217,0.032445278592806895,0.03219369588666646,0.03203314955465183,0.031916128615991864,0.03187248265621853,0.03180693232203254,0.031698557362663846,0.031682557688192156,0.031461291070675274,0.031419168291077666,0.031258114448648414,0.03115108987592176,0.0310666500865684,
R4_card_placebo,kl_crossfit,-1.0,199,0.030116461291681006,2-2-4,2000.0,0.033679449351607285,0.033234287195577666,0.03308374931110626,0.032552446212221156,0.03247106490774874,0.03240420650081903,0.03195672253821774,0.03188254696181329,0.031792330140152245,0.031651346365349525,0.03158686106468077,0.03149776711801978,0.03141028682157165,0.03131032775939862,0.03121643072755672,0.03116368098888679,0.03108553097838875,0.031032787836818312,0.03097342700913176,0.030859040650499214,
R4_card_placebo,cf1_margin,-1.0,199,0.0,2-2-4,2000.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,
R4_card_placebo,slack_plugin,-1.0,199,0.0,2-2-4,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
R4_card_placebo,gm_battery,-1.0,199,0.0,2-2-4,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
R4_card_placebo,gtest,-1.0,199,121.85704306219421,2-2-4,2000.0,199.30212412814734,172.6739940424308,169.8204947856318,168.22713683289453,163.27754977007513,160.57129444104248,158.09537566003752,155.48907728892007,154.7504792416656,154.16070664749827,153.28603892909476,152.6036760973141,151.51731127053267,150.71823684157172,148.3300913818305,147.92511127943192,146.62240555153815,145.78305277046408,145.24630505466345,143.88897017622253,
R4_card_placebo,k1,0.05,199,0.0038498579927375154,,,0.009473103811918238,0.009099901633630059,0.008581382229871037,0.007900311372256996,0.006777520278024252,0.00610642582916221,0.005959357167462986,0.005704458037669613,0.005482780448626157,0.005273301801259178,0.0050957293906847,0.005062028862018564,0.005030786689358746,0.004951264798308208,0.004911924371516885,0.004870843510194067,0.00476159366578599,0.004724784145330063,0.004653595101833385,0.004525319955313578,4.0
R4_card_placebo,k2,0.05,199,0.06913014832804769,,,0.19104304368914646,0.14867293694683134,0.14095936526989578,0.1247549163288952,0.1182946259217281,0.10998152416493956,0.10901379233252684,0.10719989629588106,0.10555038390763098,0.10046882274047013,0.0988021921621314,0.09656547037604933,0.09247585175549015,0.09060237371949488,0.0889173636240295,0.08630081034948768,0.08607253401661122,0.08546805380928892,0.08368884169203462,0.08236060576627346,4.0
R4_card_placebo,hsic,0.0,0,0.001254071868365761,,,,,,,,,,,,,,,,,,,,,,,4.0
R2_mroz,kl_plugin,-1.0,199,3.45635466809037e-17,2-2-4,2000.0,0.6311202395132975,0.6140323602704748,0.5963455699990687,0.5787008942955458,0.551067174355918,0.5422859919560745,0.5335915207190581,0.3167789607825247,0.3081100137716575,0.2795082609239252,0.2787468735697154,0.21596907438740304,0.16151374559389628,0.1310482812376307,0.12126171930684268,0.10814937040368931,0.08285322355014121,0.07881228782707073,0.07617944440956351,0.07422511965609127,
R2_mroz,kl_split,-1.0,199,91.31162982475846,2-2-4,2000.0,95.81726409637163,93.4471814069663,93.11586241963833,92.75314699488024,92.41997767922379,91.87320519844104,90.20188183504533,90.08737169815872,88.96091411257449,88.21003709599029,86.88949710516604,70.4052761719135,69.62441570694097,69.08247330151156,68.88061412473837,61.89870471554371,48.68812824617,47.29330404471111,46.43301597114772,45.82869908456847,
R2_mroz,kl_crossfit,-1.0,199,92.80500262331992,2-2-4,2000.0,92.71494405030248,83.53028225415459,67.5922746939874,66.16511901166251,56.35439939232926,52.77650952206309,49.65127019199915,48.61544750136579,48.0364064250942,47.76929138628834,47.64520070256134,47.55357541359667,47.135815500300055,46.82653503770425,46.33348578090582,46.22628726017995,45.63724279434684,45.09846353711059,44.6486424721652,42.4705593301666,
R2_mroz,cf1_margin,-1.0,199,0.0,2-2-4,2000.0,1.0,1.0,0.6690140845070423,0.6510538641686183,0.6487119437939111,0.6344339622641509,0.6112412177985949,0.594847775175644,0.5925058548009368,0.45011820330969265,0.4061032863849765,0.38588235294117645,0.38117647058823523,0.371764705882353,0.348235294117647,0.34198113207547176,0.2891075670173058,0.2784313725490196,0.2666666666666667,0.26145339652448674,
R2_mroz,slack_plugin,-1.0,199,0.0,2-2-4,2000.0,1.3255269320843093,1.3004694835680752,1.2740046838407495,1.2470588235294118,1.2037470725995316,1.189695550351288,1.1756440281030445,1.0000000000000002,1.0,0.9002364066193853,0.8122065727699532,0.7717647058823529,0.7623529411764706,0.743529411764706,0.696470588235294,0.6839622641509433,0.5782151340346117,0.5568627450980392,0.5333333333333334,0.5229067930489733,
R2_mroz,gm_battery,-1.0,199,0.0,2-2-4,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
R2_mroz,gtest,-1.0,199,28.092870424950465,2-2-4,2000.0,58.10081607221466,53.05249936900921,52.22832612905797,50.19718378324745,48.84366979918545,48.40589008285174,46.04725171827889,45.73025876144918,44.90000941654688,43.4456526786162,43.3033274955174,43.07372022357144,42.69993758443527,41.33686393507644,40.90133841462547,40.609976843564354,40.42170163897004,40.23943299549082,40.044941590594625,39.92059162675643,
R2_mroz,k1,0.05,199,0.0017903592220865905,,,0.027951285572073603,0.021582956340940873,0.01741193695583987,0.015850875435925338,0.015111044146384534,0.014353833561792095,0.01360529052612236,0.013390360169919346,0.013156307063403316,0.01292819702706538,0.0121658909085548,0.012049257837855265,0.011885793847225656,0.011532132797894779,0.01130376419513901,0.011201626757782357,0.010953826501169384,0.010729332569039962,0.010625619290065558,0.010453550516969279,3.0
R2_mroz,k2,0.05,199,0.06387397427777655,,,0.46757352900856863,0.43095473326523465,0.3624441003681381,0.34570611367658893,0.3339869128117865,0.3180381050215845,0.3103655414139063,0.30490808399096164,0.27461836309258386,0.26006358479994574,0.25566748642181797,0.24995882536614034,0.24270998527564375,0.23394900442194483,0.2315120368864606,0.2207273015469651,0.21454758904909005,0.20968570101428158,0.2019553044274637,0.2012368513007911,3.0
R2_mroz,hsic,0.0,0,0.0009694390944738663,,,,,,,,,,,,,,,,,,,,,,,3.0
R3_jtrain_rct,kl_plugin,-1.0,199,5.3146578108887724e-17,2-2-2,2000.0,0.07381330590968527,0.06764415113721053,0.050763021875607356,0.03382455920572619,0.03301112368683132,0.029773941041386535,0.024530103978483507,0.019307642009524895,0.01654970496796372,0.014543623737089915,0.013108605515581361,0.011083837701902164,0.008345335899875428,0.007894885996978053,0.00662234959626885,0.0056989050062525096,0.004223635807837911,0.003765190228662653,0.003097594581764838,0.002725217557270912,
R3_jtrain_rct,kl_split,-1.0,199,27.565884608466124,2-2-2,2000.0,53.288603282191026,38.67365479291469,31.81590272849753,31.57680559114821,31.380720075133354,29.557252570519495,28.92692692414503,27.50248778647076,26.699170398160266,25.611487842740562,25.222389924766937,23.906510911342576,23.578956041216898,22.85720716367289,22.029192047207754,21.85845685268332,20.560353889564322,20.380935035855426,20.257256920873086,19.98149633284504,
R3_jtrain_rct,kl_crossfit,-1.0,199,14.1139967257509,2-2-2,2000.0,29.429016429152668,28.776756409072306,27.079419956301873,25.14641885057104,23.32569875367147,22.262821690333286,19.854268686346142,18.373301814463858,16.043915700797328,15.505671343209194,15.06498883405536,14.446936227999611,13.96619640354442,13.71620489292556,13.25375069172468,13.089905849850396,12.959279060931625,12.841137573063722,12.253314321015573,12.094196532928159,
R3_jtrain_rct,cf1_margin,-1.0,199,1.1102230246251565e-16,2-2-2,2000.0,0.25384615384615383,0.25,0.2241715399610137,0.17715617715617715,0.17307692307692302,0.16176470588235292,0.14401622718052742,0.1384615384615384,0.12043010752688166,0.11428571428571421,0.11306042884990264,0.09615384615384615,0.0892857142857143,0.08602150537634412,0.07843137254901955,0.06666666666666665,0.059523809523809534,0.05591397849462365,0.053763440860215006,0.05142857142857138,
R3_jtrain_rct,slack_plugin,-1.0,199,0.0,2-2-2,2000.0,0.5076923076923077,0.5,0.44834307992202727,0.35431235431235425,0.34615384615384615,0.32352941176470573,0.28803245436105473,0.2769230769230768,0.2408602150537634,0.2285714285714286,0.22612085769980506,0.19230769230769218,0.1785714285714286,0.17204301075268807,0.15686274509803916,0.13333333333333333,0.11904761904761904,0.11182795698924727,0.10752688172043007,0.10285714285714279,
R3_jtrain_rct,gm_battery,-1.0,199,1.1102230246251565e-16,2-2-2,2000.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
R3_jtrain_rct,gtest,-1.0,199,0.5138786087260039,2-2-2,2000.0,11.306105303517622,7.680863076270161,7.458381866366695,6.6876094272872315,5.560617809918913,5.477327589710989,4.826297736177718,4.605225403042064,4.4162022649528305,4.187293534651257,4.036751846375602,3.6754651745230866,3.3117010080322378,3.221983608406303,3.0984641938900497,3.0984641938900497,3.0379618941990074,2.9412230901603347,2.832043894257792,2.620702223079207,
