block,cfg,noise,n,d,b,seed,method,detrend,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
alt,conf_nonlin,t3,20000,2,0.8,900000,k1,linear,0.05,99,0.022988795577338017,0.015608387875580387,0.012949966200221263,0.011708716554216125,0.0107730871163908,0.010369994981143105,0.010225987049394591,0.010224929951584638,0.010158270826893578,0.009948722479959482,0.009818002169144857,0.009732196536762161,0.009585007389118827,0.009433435524506484,0.009426608392352542,0.009249406310477548,0.00919068448981375,0.009184265059443253,0.009175127159422924,0.00915405530089175,0.008975427087891452
alt,conf_nonlin,t3,20000,2,0.8,900000,k2,linear,0.05,99,0.18714533983783435,0.11629970547838057,0.09294600615768478,0.08781204895488072,0.08309031196735647,0.08124420118677823,0.08070061213444957,0.07234143550612054,0.07222821359239569,0.0701658992032596,0.06731986440745318,0.06702187999825203,0.06661422143511979,0.06658061246036223,0.06566248258455767,0.06429629806091831,0.06353934759729417,0.0629405868518545,0.06287012922102517,0.06137086242400659,0.06106232833583055
alt,conf_nonlin,t3,20000,2,0.8,900000,k1,quadratic,0.05,99,0.023012754467858,0.014818639704772596,0.014320486251888753,0.014089668672588318,0.013664954319423606,0.011765634366732947,0.011615757645912383,0.011499935268560635,0.010837575365735597,0.010709180924364126,0.010679478122224806,0.010349905131060377,0.009727711575973963,0.009654643644731564,0.009580080686306114,0.009375274643601883,0.009221891541816851,0.009186463708689252,0.009141789740988226,0.009129162514797784,0.008816572429669156
alt,conf_nonlin,t3,20000,2,0.8,900000,k2,quadratic,0.05,99,0.19354619525810873,0.13119052017260807,0.10747410587024751,0.09811430821239431,0.09303591081364154,0.0909836217498707,0.0869019224997654,0.08534834915177368,0.07840977337565144,0.07836537850678181,0.07518393290495154,0.07496835651997019,0.07409689481827697,0.07388095101058828,0.07145760887245295,0.07134298528180416,0.06673530129181049,0.06269367657027948,0.06265217507036785,0.06248104456270447,0.061787806987504724
alt,conf_nonlin,t3,20000,2,0.8,900001,k1,linear,0.05,99,0.04993317270039166,0.014826834097027008,0.013897572606457076,0.013049694034583337,0.011800772722309727,0.011563276892448071,0.011480707755785358,0.011031157850622364,0.010815142882045214,0.010552236078856025,0.010511046927744738,0.010331005244893832,0.010169888040269526,0.009917831084862772,0.009893431656957885,0.009791645759810952,0.009739320139820151,0.009724103196110279,0.009691646485557648,0.008974320346585851,0.00858402016798998
alt,conf_nonlin,t3,20000,2,0.8,900001,k2,linear,0.05,99,0.16943072614130036,0.12252912199429368,0.12176697911971357,0.1179433398798104,0.1101343735904903,0.10531227528732887,0.10181420902713285,0.09592876228767167,0.09441469897326299,0.09287377454551834,0.09123662452455482,0.08773855300130454,0.08387654507481021,0.08357912785922553,0.07985309886397265,0.07974710126537948,0.07792530245226073,0.07432470403676036,0.0719057588136762,0.07114307592193582,0.07102255808846968
alt,conf_nonlin,t3,20000,2,0.8,900001,k1,quadratic,0.05,99,0.04936250908086537,0.015493846749398688,0.011500622284163264,0.011435941710714492,0.011303406127623594,0.011193210796676345,0.01106364431224971,0.010718679154206101,0.010667566701373032,0.009842451831619914,0.009671027777847008,0.009565284945390995,0.009506677270715413,0.009483375966246821,0.009429527092435941,0.009311601352255172,0.009311307496133958,0.00918834468503138,0.00918268859101068,0.009150858866207368,0.009063860779484068
alt,conf_nonlin,t3,20000,2,0.8,900001,k2,quadratic,0.05,99,0.16639212000004647,0.13222758082394015,0.10187829534229458,0.10131789381090749,0.08991333618438165,0.08533919701738461,0.08347749707053188,0.0819397186429977,0.08076243224360982,0.07991256672596442,0.07892805356190438,0.07465908015527098,0.07450289381287162,0.07313269770631982,0.07156468711808414,0.06911450754522576,0.06672435389763891,0.06415977682881445,0.06348716578775977,0.062482418138017595,0.06129682742660194
alt,conf_nonlin,t3,20000,2,0.8,900002,k1,linear,0.05,99,0.03259623975400072,0.015237859130100562,0.0144570006282001,0.012979673358795907,0.012436191646261752,0.012343263637186963,0.012236526297733863,0.011580569643016125,0.01131852164601388,0.011307298171087221,0.011300588572631498,0.011143150991267503,0.011000554680086316,0.01076764991139445,0.01066534317783574,0.01060284928964228,0.010403142412072852,0.010376183475149126,0.010369664443821147,0.010344994940396868,0.010322692552348411
alt,conf_nonlin,t3,20000,2,0.8,900002,k2,linear,0.05,99,0.20866826652112688,0.11577408195385099,0.10624919755149453,0.0998184496137826,0.09546421277741558,0.0950205528112174,0.08772115452779956,0.08495770175200068,0.08235896305404468,0.08162414462545885,0.0806625113585962,0.07999687045650763,0.07597529650822411,0.07593534401332941,0.07564286684814876,0.0735245700745826,0.07068970580583946,0.07065318673189155,0.0678776208950366,0.06730866920971798,0.06627780416979079
alt,conf_nonlin,t3,20000,2,0.8,900002,k1,quadratic,0.05,99,0.03269984255573444,0.015403547680124974,0.014170478555633137,0.013097257745895208,0.012811100925943508,0.012772447448699542,0.012079580231955545,0.011724039813276743,0.011557481306402329,0.011126991019216992,0.010886832150576398,0.01075602446618873,0.009729128711397195,0.009656820497911611,0.009610270575604263,0.00927825426451645,0.009235427998549484,0.009117287299229004,0.009060283774677935,0.008768417174444543,0.008737740139177386
alt,conf_nonlin,t3,20000,2,0.8,900002,k2,quadratic,0.05,99,0.21148675538865488,0.10505162515383665,0.09492648206316132,0.08831264897236375,0.08621853265528799,0.08606711276796972,0.07665229678692029,0.07567224945813658,0.07556410379052202,0.07393168498590279,0.07375067325786089,0.07215337675506632,0.06992177586695404,0.06983806973163537,0.06882035533384405,0.0680259526708485,0.06765632784983643,0.06737026574361672,0.06445958665545498,0.06407038857111404,0.06177816779693683
alt,conf_nonlin,t3,20000,2,0.8,900003,k1,linear,0.05,99,0.028375227379933476,0.020330645484306187,0.016132719396519724,0.01565746889964681,0.0148815507764819,0.014041981412429516,0.012781655217455445,0.012497748807289155,0.012054323021193358,0.01188630925838674,0.011819822029345506,0.011797687193519701,0.011758789555795679,0.011450133660739104,0.01130546765628282,0.010656509860424213,0.010564787628987271,0.010563099587230451,0.010509918985990296,0.010172752932429252,0.010170295120154105
alt,conf_nonlin,t3,20000,2,0.8,900003,k2,linear,0.05,99,0.18322759527299165,0.10511813501700346,0.09682561303959994,0.09201808378360324,0.08958149853401615,0.08472953558557131,0.08181063835186496,0.08100144174220653,0.08031523815758683,0.07537170227139975,0.07458496918551273,0.07388137224726674,0.07311946069948252,0.06908853224214986,0.0684181684862324,0.06751865427692844,0.06452129352326892,0.06445672810886,0.06435281644028308,0.06330892922201428,0.06328789028797585
alt,conf_nonlin,t3,20000,2,0.8,900003,k1,quadratic,0.05,99,0.028020923968113065,0.018693866153446592,0.014164511763759768,0.012475542703311082,0.012455522995825419,0.01148103582719917,0.01122423177575571,0.011203755132013549,0.011072842782627879,0.010643980342493586,0.010634217218204456,0.009993976786250358,0.009942479472493382,0.009907041805363614,0.00952415349048552,0.009521181082455255,0.009340162534359875,0.009198483971911364,0.00910745039907579,0.00909839870084106,0.008915006253801483
