cell,tail,family,rho,n,seed,dt_stats_s,stat,engine,stat_obs
2-2-5,t3,mixture,0.8,2000,800000,0.009506090005743317,kl_plugin,none,0.5130973379262864
2-2-5,t3,mixture,0.8,2000,800000,0.009506090005743317,kl_split,none,0.5114711460462231
2-2-5,t3,mixture,0.8,2000,800000,0.009506090005743317,kl_crossfit,none,0.5400872476262171
2-2-5,t3,mixture,0.8,2000,800000,0.009506090005743317,cf1_margin,none,0.683068732274929
2-2-5,t3,mixture,0.8,2000,800000,0.009506090005743317,slack_plugin,none,1.3661374645498583
2-2-5,t3,mixture,0.8,2000,800000,0.009506090005743317,gm_battery,none,0.0
2-2-5,t3,mixture,0.8,2000,800000,0.009506090005743317,gtest,none,837.9885474008354
2-2-5,t3,mixture,0.8,2000,800001,0.006179354997584596,kl_plugin,none,0.43073712587749896
2-2-5,t3,mixture,0.8,2000,800001,0.006179354997584596,kl_split,none,0.5916470672840396
2-2-5,t3,mixture,0.8,2000,800001,0.006179354997584596,kl_crossfit,none,0.527866402236064
2-2-5,t3,mixture,0.8,2000,800001,0.006179354997584596,cf1_margin,none,0.6307162339893362
2-2-5,t3,mixture,0.8,2000,800001,0.006179354997584596,slack_plugin,none,1.261432467978672
2-2-5,t3,mixture,0.8,2000,800001,0.006179354997584596,gm_battery,none,0.0
2-2-5,t3,mixture,0.8,2000,800001,0.006179354997584596,gtest,none,1041.2215051144897
2-2-5,t3,mixture,0.8,2000,800002,0.0062331099979928695,kl_plugin,none,0.40327819127043696
2-2-5,t3,mixture,0.8,2000,800002,0.0062331099979928695,kl_split,none,0.5555698782684577
2-2-5,t3,mixture,0.8,2000,800002,0.0062331099979928695,kl_crossfit,none,0.5385146919946098
2-2-5,t3,mixture,0.8,2000,800002,0.0062331099979928695,cf1_margin,none,0.6120117199226678
2-2-5,t3,mixture,0.8,2000,800002,0.0062331099979928695,slack_plugin,none,1.2240234398453353
2-2-5,t3,mixture,0.8,2000,800002,0.0062331099979928695,gm_battery,none,0.0
2-2-5,t3,mixture,0.8,2000,800002,0.0062331099979928695,gtest,none,1082.7705944092672
2-2-5,t3,mixture,0.8,2000,800003,0.005613207998976577,kl_plugin,none,0.4437801640348689
2-2-5,t3,mixture,0.8,2000,800003,0.005613207998976577,kl_split,none,0.6459675541807288
2-2-5,t3,mixture,0.8,2000,800003,0.005613207998976577,kl_crossfit,none,1.3970563402468508
2-2-5,t3,mixture,0.8,2000,800003,0.005613207998976577,cf1_margin,none,0.6395695641240655
2-2-5,t3,mixture,0.8,2000,800003,0.005613207998976577,slack_plugin,none,1.2791391282481308
2-2-5,t3,mixture,0.8,2000,800003,0.005613207998976577,gm_battery,none,0.0
2-2-5,t3,mixture,0.8,2000,800003,0.005613207998976577,gtest,none,1046.3515920555128
2-2-5,t3,mixture,0.8,2000,800004,0.004983001999789849,kl_plugin,none,0.4004515118252966
2-2-5,t3,mixture,0.8,2000,800004,0.004983001999789849,kl_split,none,0.5133948578230428
2-2-5,t3,mixture,0.8,2000,800004,0.004983001999789849,kl_crossfit,none,0.5771272841683543
2-2-5,t3,mixture,0.8,2000,800004,0.004983001999789849,cf1_margin,none,0.6097164833163375
2-2-5,t3,mixture,0.8,2000,800004,0.004983001999789849,slack_plugin,none,1.219432966632675
2-2-5,t3,mixture,0.8,2000,800004,0.004983001999789849,gm_battery,none,0.0
2-2-5,t3,mixture,0.8,2000,800004,0.004983001999789849,gtest,none,1013.2696724751218
2-2-5,t3,mixture,0.8,2000,800005,0.0055919169972185045,kl_plugin,none,0.45358791689616557
2-2-5,t3,mixture,0.8,2000,800005,0.0055919169972185045,kl_split,none,0.5542413886627551
2-2-5,t3,mixture,0.8,2000,800005,0.0055919169972185045,kl_crossfit,none,1.2595702672252183
2-2-5,t3,mixture,0.8,2000,800005,0.0055919169972185045,cf1_margin,none,0.6458031204242769
2-2-5,t3,mixture,0.8,2000,800005,0.0055919169972185045,slack_plugin,none,1.2916062408485538
2-2-5,t3,mixture,0.8,2000,800005,0.0055919169972185045,gm_battery,none,0.0
2-2-5,t3,mixture,0.8,2000,800005,0.0055919169972185045,gtest,none,997.0210018919138
2-2-5,t3,mixture,0.8,2000,800006,0.00575633900007233,kl_plugin,none,0.4555546047056584
2-2-5,t3,mixture,0.8,2000,800006,0.00575633900007233,kl_split,none,0.5319104926231774
2-2-5,t3,mixture,0.8,2000,800006,0.00575633900007233,kl_crossfit,none,0.5185727661377855
2-2-5,t3,mixture,0.8,2000,800006,0.00575633900007233,cf1_margin,none,0.6472989195678271
2-2-5,t3,mixture,0.8,2000,800006,0.00575633900007233,slack_plugin,none,1.2945978391356543
2-2-5,t3,mixture,0.8,2000,800006,0.00575633900007233,gm_battery,none,0.0
2-2-5,t3,mixture,0.8,2000,800006,0.00575633900007233,gtest,none,957.6305681607772
2-2-5,t3,mixture,0.8,2000,800007,0.005294871996738948,kl_plugin,none,0.42424994916146647
2-2-5,t3,mixture,0.8,2000,800007,0.005294871996738948,kl_split,none,0.42940681194630687
