cell,tail,family,rho,n,seed,dt_stats_s,stat,engine,stat_obs
2-2-5,t3,mixture,0.4,500,800000,0.012059861997840926,kl_plugin,none,7.70738373775506e-15
2-2-5,t3,mixture,0.4,500,800000,0.012059861997840926,kl_split,none,2.5271534743889963
2-2-5,t3,mixture,0.4,500,800000,0.012059861997840926,kl_crossfit,none,3.011181950837427
2-2-5,t3,mixture,0.4,500,800000,0.012059861997840926,cf1_margin,none,1.1102230246251565e-16
2-2-5,t3,mixture,0.4,500,800000,0.012059861997840926,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800000,0.012059861997840926,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800000,0.012059861997840926,gtest,none,297.9015518416453
2-2-5,t3,mixture,0.4,500,800001,0.012984052998945117,kl_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800001,0.012984052998945117,kl_split,none,0.7606706570088239
2-2-5,t3,mixture,0.4,500,800001,0.012984052998945117,kl_crossfit,none,0.4349378265430542
2-2-5,t3,mixture,0.4,500,800001,0.012984052998945117,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800001,0.012984052998945117,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800001,0.012984052998945117,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800001,0.012984052998945117,gtest,none,265.13911827409686
2-2-5,t3,mixture,0.4,500,800002,0.010195637994911522,kl_plugin,none,3.0230869315579756e-15
2-2-5,t3,mixture,0.4,500,800002,0.010195637994911522,kl_split,none,3.5875371425178417
2-2-5,t3,mixture,0.4,500,800002,0.010195637994911522,kl_crossfit,none,1.8392826780232303
2-2-5,t3,mixture,0.4,500,800002,0.010195637994911522,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800002,0.010195637994911522,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800002,0.010195637994911522,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800002,0.010195637994911522,gtest,none,268.5756397775514
2-2-5,t3,mixture,0.4,500,800003,0.006607885996345431,kl_plugin,none,8.269796407514018e-17
2-2-5,t3,mixture,0.4,500,800003,0.006607885996345431,kl_split,none,1.4194181512184447
2-2-5,t3,mixture,0.4,500,800003,0.006607885996345431,kl_crossfit,none,2.1417506144180836
2-2-5,t3,mixture,0.4,500,800003,0.006607885996345431,cf1_margin,none,1.1102230246251565e-16
2-2-5,t3,mixture,0.4,500,800003,0.006607885996345431,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800003,0.006607885996345431,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800003,0.006607885996345431,gtest,none,306.23571164324505
2-2-5,t3,mixture,0.4,500,800004,0.009087086997169536,kl_plugin,none,4.935714858893456e-16
2-2-5,t3,mixture,0.4,500,800004,0.009087086997169536,kl_split,none,1.7279696536456512
2-2-5,t3,mixture,0.4,500,800004,0.009087086997169536,kl_crossfit,none,0.9427867328028101
2-2-5,t3,mixture,0.4,500,800004,0.009087086997169536,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800004,0.009087086997169536,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800004,0.009087086997169536,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800004,0.009087086997169536,gtest,none,289.22898215715117
2-2-5,t3,mixture,0.4,500,800005,0.007324330996198114,kl_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800005,0.007324330996198114,kl_split,none,0.15031407856018372
2-2-5,t3,mixture,0.4,500,800005,0.007324330996198114,kl_crossfit,none,2.4276509960359314
2-2-5,t3,mixture,0.4,500,800005,0.007324330996198114,cf1_margin,none,1.1102230246251565e-16
2-2-5,t3,mixture,0.4,500,800005,0.007324330996198114,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800005,0.007324330996198114,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800005,0.007324330996198114,gtest,none,310.1285414379168
2-2-5,t3,mixture,0.4,500,800006,0.006472243003372569,kl_plugin,none,2.7124968909757566e-15
2-2-5,t3,mixture,0.4,500,800006,0.006472243003372569,kl_split,none,1.6824940881031598
2-2-5,t3,mixture,0.4,500,800006,0.006472243003372569,kl_crossfit,none,2.5637146689545753
2-2-5,t3,mixture,0.4,500,800006,0.006472243003372569,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800006,0.006472243003372569,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800006,0.006472243003372569,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800006,0.006472243003372569,gtest,none,274.75965163192745
2-2-5,t3,mixture,0.4,500,800007,0.0053741529991384596,kl_plugin,none,4.72101029144976e-15
2-2-5,t3,mixture,0.4,500,800007,0.0053741529991384596,kl_split,none,1.5079204354710602
2-2-5,t3,mixture,0.4,500,800007,0.0053741529991384596,kl_crossfit,none,2.475234770517319
2-2-5,t3,mixture,0.4,500,800007,0.0053741529991384596,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800007,0.0053741529991384596,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800007,0.0053741529991384596,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800007,0.0053741529991384596,gtest,none,282.8965746988586
2-2-5,t3,mixture,0.4,500,800008,0.0056549049986642785,kl_plugin,none,3.784099708105566e-15
2-2-5,t3,mixture,0.4,500,800008,0.0056549049986642785,kl_split,none,0.1287873851263124
2-2-5,t3,mixture,0.4,500,800008,0.0056549049986642785,kl_crossfit,none,1.2998440345268838
2-2-5,t3,mixture,0.4,500,800008,0.0056549049986642785,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800008,0.0056549049986642785,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800008,0.0056549049986642785,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800008,0.0056549049986642785,gtest,none,342.8501873990051
2-2-5,t3,mixture,0.4,500,800009,0.005110617996251676,kl_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800009,0.005110617996251676,kl_split,none,0.9160320136656557
2-2-5,t3,mixture,0.4,500,800009,0.005110617996251676,kl_crossfit,none,0.9419885932537821
2-2-5,t3,mixture,0.4,500,800009,0.005110617996251676,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800009,0.005110617996251676,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800009,0.005110617996251676,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800009,0.005110617996251676,gtest,none,308.66811125242975
2-2-5,t3,mixture,0.4,500,800010,0.005172247998416424,kl_plugin,none,1.3794064404167354e-15
2-2-5,t3,mixture,0.4,500,800010,0.005172247998416424,kl_split,none,0.7552170363364701
2-2-5,t3,mixture,0.4,500,800010,0.005172247998416424,kl_crossfit,none,1.3902232052076182
2-2-5,t3,mixture,0.4,500,800010,0.005172247998416424,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800010,0.005172247998416424,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800010,0.005172247998416424,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800010,0.005172247998416424,gtest,none,341.94307291172163
2-2-5,t3,mixture,0.4,500,800011,0.0052368129981914535,kl_plugin,none,3.65906941319617e-16
2-2-5,t3,mixture,0.4,500,800011,0.0052368129981914535,kl_split,none,2.097005662500386
2-2-5,t3,mixture,0.4,500,800011,0.0052368129981914535,kl_crossfit,none,2.154865235597022
2-2-5,t3,mixture,0.4,500,800011,0.0052368129981914535,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800011,0.0052368129981914535,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800011,0.0052368129981914535,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800011,0.0052368129981914535,gtest,none,288.9781850357682
2-2-5,t3,mixture,0.4,500,800012,0.006141981000837404,kl_plugin,none,2.3548392970111982e-14
2-2-5,t3,mixture,0.4,500,800012,0.006141981000837404,kl_split,none,0.8906476988405319
2-2-5,t3,mixture,0.4,500,800012,0.006141981000837404,kl_crossfit,none,1.3483289443621773
2-2-5,t3,mixture,0.4,500,800012,0.006141981000837404,cf1_margin,none,0.0
2-2-5,t3,mixture,0.4,500,800012,0.006141981000837404,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800012,0.006141981000837404,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800012,0.006141981000837404,gtest,none,291.74704902590435
2-2-5,t3,mixture,0.4,500,800013,0.006620154999836814,kl_plugin,none,3.6205933317482383e-14
2-2-5,t3,mixture,0.4,500,800013,0.006620154999836814,kl_split,none,0.8933207568217426
2-2-5,t3,mixture,0.4,500,800013,0.006620154999836814,kl_crossfit,none,4.578911343370165
2-2-5,t3,mixture,0.4,500,800013,0.006620154999836814,cf1_margin,none,1.1102230246251565e-16
2-2-5,t3,mixture,0.4,500,800013,0.006620154999836814,slack_plugin,none,0.0
2-2-5,t3,mixture,0.4,500,800013,0.006620154999836814,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800013,0.006620154999836814,gtest,none,322.1193765430411
2-2-5,t3,mixture,0.4,500,800014,0.007123507995856926,kl_plugin,none,1.0464725149905679e-05
2-2-5,t3,mixture,0.4,500,800014,0.007123507995856926,kl_split,none,0.9272122054783788
2-2-5,t3,mixture,0.4,500,800014,0.007123507995856926,kl_crossfit,none,0.5201670808662553
2-2-5,t3,mixture,0.4,500,800014,0.007123507995856926,cf1_margin,none,0.002048524422252118
2-2-5,t3,mixture,0.4,500,800014,0.007123507995856926,slack_plugin,none,0.004097048844504118
2-2-5,t3,mixture,0.4,500,800014,0.007123507995856926,gm_battery,none,0.0
2-2-5,t3,mixture,0.4,500,800014,0.007123507995856926,gtest,none,314.0764925799457
