cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-5,A2_det_nonlinear_chain,none,2000,900000,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900000,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900000,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900000,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900000,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900000,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900000,,gtest,none,2772.586722239448
2-2-5,A2_det_nonlinear_chain,none,2000,900001,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900001,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900001,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900001,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900001,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900001,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900001,,gtest,none,2772.196709433444
2-2-5,A2_det_nonlinear_chain,none,2000,900002,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900002,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900002,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900002,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900002,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900002,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900002,,gtest,none,2772.556722154447
2-2-5,A2_det_nonlinear_chain,none,2000,900003,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900003,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900003,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900003,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900003,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900003,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900003,,gtest,none,2772.010694396229
2-2-5,A2_det_nonlinear_chain,none,2000,900004,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900004,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900004,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900004,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900004,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900004,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900004,,gtest,none,2772.588722239781
2-2-5,A2_det_nonlinear_chain,none,2000,900005,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900005,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900005,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900005,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900005,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900005,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900005,,gtest,none,2772.300715327383
2-2-5,A2_det_nonlinear_chain,none,2000,900006,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900006,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900006,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900006,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900006,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900006,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900006,,gtest,none,2772.2507127188046
2-2-5,A2_det_nonlinear_chain,none,2000,900007,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900007,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900007,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900007,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900007,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900007,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900007,,gtest,none,2771.530628939704
2-2-5,A2_det_nonlinear_chain,none,2000,900008,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900008,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900008,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900008,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900008,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900008,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900008,,gtest,none,2772.300715327383
2-2-5,A2_det_nonlinear_chain,none,2000,900009,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900009,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900009,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900009,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900009,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900009,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900009,,gtest,none,2772.5807222344474
2-2-5,A2_det_nonlinear_chain,none,2000,900010,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900010,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900010,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900010,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900010,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900010,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900010,,gtest,none,2772.4267200527106
2-2-5,A2_det_nonlinear_chain,none,2000,900011,,kl_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900011,,kl_split,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900011,,kl_crossfit,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900011,,cf1_margin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900011,,slack_plugin,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900011,,gm_battery,none,0.0
2-2-5,A2_det_nonlinear_chain,none,2000,900011,,gtest,none,2772.2507127188046
2-2-5,A2_det_nonlinear_chain,none,2000,900012,,kl_plugin,none,0.0
