adv_id,n,d,noise,seed,method,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
B4_heavy_curvature,5000,2,t3,900000,k1,0.05,99,0.006748584474377095,0.012827089903822642,0.012470172823538128,0.012402388089005845,0.012358824662311307,0.0119995978947125,0.01153376095269365,0.011331040968799666,0.011282014830736653,0.011112335596131229,0.011062184881222903,0.010815136836866301,0.010520138945350532,0.010267017670681056,0.010077763402449036,0.009892186572377226,0.009798193142887435,0.009528353979907478,0.009430191389387721,0.009363830578171917,0.009243538146534003
B4_heavy_curvature,5000,2,t3,900000,k2,0.05,99,0.06056948874457641,0.23190057599648747,0.195222776369355,0.19286921628666948,0.1819089114709625,0.18010017226125713,0.17857968523003806,0.17266919356383298,0.1587495220915436,0.15556384630421238,0.15554421400468044,0.15165813178258636,0.15095486799918206,0.14967516060999547,0.14441186701705355,0.14321858049880767,0.1415706861218172,0.135531838667407,0.13379075820773983,0.13351581640449964,0.1331223523131591
B4_heavy_curvature,5000,2,t3,900000,hsic,0.0,99,0.0010216747163707273,0.007192916150749403,0.004486410001873809,0.004451609209683342,0.004356416639204435,0.004303528561533345,0.004235356358444209,0.003893006802347173,0.003847216955779838,0.0034775758734080426,0.0033686466091433255,0.0032994377335484786,0.0032734134849678634,0.0032561838239737627,0.0031196807203831547,0.0029510360432523307,0.0028895930322353964,0.002662788675450234,0.0026562441409544884,0.0026191745901632244,0.002500563923033149
B4_heavy_curvature,5000,2,t3,900001,k1,0.05,99,0.004972210591577597,0.017449464315322682,0.0160582083183195,0.014445131721162019,0.01285137174921891,0.012778949455488853,0.012040267601662213,0.011643206337863643,0.011167536227191466,0.01096257105961529,0.010933971364210482,0.010842910348563883,0.010708067119930775,0.010339667239891215,0.010330959792890448,0.010290359002781746,0.01002734912797587,0.009876886341972257,0.009492049069043218,0.009423639609291046,0.00931506930133974
B4_heavy_curvature,5000,2,t3,900001,k2,0.05,99,0.18628675912591602,0.27177979369057076,0.23523739739476573,0.22317275621031568,0.2148226318890543,0.19743998946084543,0.18821762520680985,0.18661636501799778,0.18561685614866968,0.1847063586967149,0.18121238352108385,0.17707659508154439,0.16850676539504766,0.15986181307768324,0.15738599876020604,0.14944725888083563,0.14084323782214953,0.13820567058624122,0.136676272676984,0.13284570348206393,0.13206188317256273
B4_heavy_curvature,5000,2,t3,900001,hsic,0.0,99,0.0011762692075138479,0.006006362640918546,0.004758750047222954,0.004396489711415646,0.003983681075429913,0.0038513844392287742,0.003712920834600321,0.0036751573160456324,0.0034835644855264305,0.003473414945333497,0.0034313560543991982,0.003396974988300181,0.003361190518871235,0.0033545543465492906,0.0032866004138359314,0.0032670778585443877,0.0032659142133984395,0.0032364448562026793,0.003165867581021827,0.0029322681334699196,0.0028050073386619084
B4_heavy_curvature,5000,2,t3,900002,k1,0.05,99,0.005337012021791709,0.014473349606598185,0.014107849148507934,0.014067625430316255,0.013321298625203037,0.012892013522759926,0.012153196535749755,0.012114366804500953,0.01206226819456302,0.012033320923420243,0.011215001190319929,0.010405286265979918,0.01026592520509828,0.010235775365461164,0.009923560557274058,0.009632042900418525,0.009542037163609352,0.009316964516356108,0.009295196069234235,0.00927440996163964,0.0092161418135005
B4_heavy_curvature,5000,2,t3,900002,k2,0.05,99,0.16399757437013676,0.38300268694689027,0.2834002254162113,0.25454164740640234,0.24609433801929348,0.22308563110747207,0.21237108594501364,0.19073598060871483,0.18510488032262498,0.17904091672132016,0.175187886049656,0.17421513498899457,0.17032136086236002,0.16898528132301227,0.16825564287826134,0.16611695151464165,0.16105966238304395,0.15541314745714135,0.15166151208691386,0.1496811837923499,0.1430096725246849
B4_heavy_curvature,5000,2,t3,900002,hsic,0.0,99,0.00012095291253213784,0.0046195528987138116,0.003533728138725345,0.0032666718876042658,0.003252827148010233,0.0032132658570743346,0.003179442631260466,0.003164273891503089,0.0030194263795110215,0.0029687308871343843,0.0029190977560504257,0.002889801608331812,0.002832969232105381,0.0028307533954048834,0.0028100431292179626,0.0026658451258433436,0.0026174533238292534,0.002584998204932438,0.002568414845413364,0.0025501628016423696,0.002454551626886729
B4_heavy_curvature,5000,2,t3,900003,k1,0.05,99,0.007004326210880318,0.014312356105478097,0.013868010721687085,0.012815516155884277,0.012575793421092274,0.012538036554485044,0.012168956905489359,0.011457455554645612,0.011339868878698867,0.011064674620548054,0.010757290553865761,0.010628178974580127,0.010620225222931268,0.010478198468945155,0.01016319992500736,0.009796679732672953,0.009645345602056765,0.009447604093333895,0.009191681652365613,0.008900495734794345,0.008789805987841293
B4_heavy_curvature,5000,2,t3,900003,k2,0.05,99,0.45276320822343347,0.2926392624798993,0.20931808651907374,0.19813958179921842,0.19715928946896918,0.1919870501528287,0.18696936864565983,0.1806077625305634,0.176523021318171,0.17544210644026748,0.16685517328431426,0.16356005147922906,0.16335471671444,0.15855986256233098,0.1560973399633221,0.14263493946655664,0.14184200468161526,0.13827475653783966,0.13727047184446825,0.13645986987346564,0.13594711760351985
B4_heavy_curvature,5000,2,t3,900003,hsic,0.0,99,0.0006630074655931074,0.004900241874745808,0.004821204768027329,0.004650247672463293,0.004287214413323195,0.0035725125022188307,0.003560126554990553,0.003500623116154101,0.0034359921663700377,0.0032348901112687727,0.003224360122178858,0.0031988257115055456,0.0031577370728689234,0.0031094686516404094,0.0030827848578275814,0.002992336057354607,0.0029507349013469454,0.002948405265620319,0.002895489613805803,0.0028442249012908503,0.0028202419112234593
B4_heavy_curvature,5000,2,t3,900004,k1,0.05,99,0.009740088127045188,0.014478063811090403,0.014171201683486845,0.013547684914385738,0.012998384383098305,0.012162164140551268,0.01187685847188813,0.011865937433271467,0.011462444104730296,0.011460766889399898,0.011071970269319942,0.011048379576203082,0.010965379141340326,0.010908570867112055,0.010505020001187804,0.010167115766238632,0.009954768729086183,0.009831927971664878,0.009818357086126328,0.009748025180768227,0.009611390618948557
B4_heavy_curvature,5000,2,t3,900004,k2,0.05,99,0.1558009389920845,0.2625485514511017,0.23379747192411107,0.22723529900183345,0.19960074954916632,0.19004819503393836,0.1846743876198991,0.1805397716795307,0.17977828220880807,0.1789265802182208,0.17827563736789956,0.17823010785258303,0.1774548870656442,0.17574431084523498,0.1706704533248334,0.16728219859811025,0.1659138695503054,0.16414215044630776,0.15761725928918505,0.13945967672546,0.13563250824749679
B4_heavy_curvature,5000,2,t3,900004,hsic,0.0,99,0.000253912156372872,0.005159873987778265,0.0037534347607017316,0.00372752992755114,0.0036712288988430407,0.0035731816826997374,0.003464800257501863,0.0033635264373348796,0.0033233815695295206,0.0032052471779679516,0.003167177472673455,0.0030200789128778907,0.0030096354163185682,0.0030012065502077563,0.0028514082026598474,0.0027838771868308734,0.002616939268264497,0.0025447657228510694,0.002524930508823551,0.0025140882862529474,0.002389213856349034
B4_heavy_curvature,5000,2,t3,900005,k1,0.05,99,0.004855891552455471,0.018572128440127567,0.01678085448032718,0.01467891113132902,0.013643672937058593,0.012643789303678044,0.012641266739416901,0.011914463018162125,0.011862611230416098,0.011766567778603298,0.011666032258048742,0.01164507162906614,0.01150725521343443,0.011290631952809327,0.011114491740689347,0.011079835413894346,0.010897022699066339,0.010833209533531396,0.010655512871645123,0.010438887806067942,0.009790288457330876
B4_heavy_curvature,5000,2,t3,900005,k2,0.05,99,0.1658387202627915,0.27843458152936446,0.2667244809062783,0.20501751445759409,0.19218555807625018,0.19041237529489813,0.18912438807520326,0.18880413222140904,0.17657155670448374,0.17588919480344742,0.17544683262587532,0.17378793482749982,0.1705465700082877,0.1677111391826811,0.16544661343338438,0.1618456253561048,0.15552028974881593,0.15271043516654265,0.15262128726590987,0.14923885595350855,0.14069201728775962
B4_heavy_curvature,5000,2,t3,900005,hsic,0.0,99,0.0008779754453841898,0.005588289097692072,0.004977979011700029,0.004888942262643069,0.004840326968061105,0.0046656670601594695,0.004099562639022458,0.004043647817103855,0.003660428070282615,0.0036119628081724285,0.003569804044392509,0.0033861639452030397,0.003293264017817358,0.0032509983210434216,0.0032232795911940853,0.003133955117983858,0.003017196677107831,0.002984441511001725,0.002926186308325356,0.0028081482805323104,0.002702212511166425
B4_heavy_curvature,5000,2,t3,900006,k1,0.05,99,0.0037062968009020647,0.016654889435715137,0.01488522450802221,0.014541272375260927,0.014343947157202996,0.012393043232947432,0.01201318502187243,0.011743241175239838,0.011499666461834979,0.011456130291848554,0.011435380777583104,0.011368921758772688,0.010774369579344079,0.01069324898321622,0.01025319392248436,0.010189089897979287,0.00974960403977465,0.009609860216494681,0.009606523078938722,0.00942892071868684,0.008941076045117735
B4_heavy_curvature,5000,2,t3,900006,k2,0.05,99,0.05077283679411697,0.464029103683954,0.26031240130832867,0.256922454818224,0.2265669550419519,0.22358778653274888,0.22092896572611925,0.21944594244275858,0.2065950293156864,0.20555949236892804,0.19085343739728367,0.18622815199581702,0.17347537981822728,0.168512827548063,0.16553301038886836,0.16550241298745144,0.1653441731487843,0.16003308496625568,0.1593223078231526,0.1552117556319084,0.15361790952670593
B4_heavy_curvature,5000,2,t3,900006,hsic,0.0,99,0.0004599957663247599,0.005516880375705508,0.005487685402133308,0.004886555730523816,0.004304079780216057,0.0041582822268018274,0.00411308398088684,0.0036573455052151082,0.003617415873520855,0.0035193823337292237,0.0032024809677156946,0.0030805841755021904,0.003064004857154862,0.003035035131175385,0.0029811363278177167,0.002796183873423716,0.0027531109029504605,0.002749584136880263,0.002725392702855014,0.0026764712909415345,0.0026639093571513184
