n,d,noise,kind,seed,method,trim,B,stat_obs,dt_boot_s,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
20000,5,gauss,null_gauss,400000,k1,0.0,49,0.009046977994717542,24.919930903997738,0.018423908437953274,0.018423908437953274,0.013260569968748692,0.013260569968748692,0.011780176810236909,0.011780176810236909,0.011417772204064258,0.011417772204064258,0.011106530028050954,0.011106530028050954,0.010541423941263228,0.010541423941263228,0.01029676687793224,0.01029676687793224,0.010130082519130168,0.010130082519130168,0.009987150603739892,0.009987150603739892,0.009817423321016983,0.009817423321016983
20000,5,gauss,null_gauss,400000,k1,0.01,49,0.0089056875672191,24.919930903997738,0.013960103497701715,0.013960103497701715,0.012737430634094493,0.012737430634094493,0.012094090633389731,0.012094090633389731,0.011296417720704222,0.011296417720704222,0.01118542433440195,0.01118542433440195,0.011062059653121903,0.011062059653121903,0.010576439753708033,0.010576439753708033,0.010085834784622438,0.010085834784622438,0.010084131234705196,0.010084131234705196,0.010055420981595398,0.010055420981595398
20000,5,gauss,null_gauss,400000,k1,0.05,199,0.008829213259289759,24.919930903997738,0.015198664232592418,0.014303113167623449,0.0133041687626827,0.013088421504220848,0.012610615574030093,0.011995886694763147,0.011836478543068352,0.011654397307135023,0.01137367634765174,0.011303883912138324,0.010808115397894724,0.010732512946558304,0.010556831266680833,0.01030376834606106,0.010155613623652582,0.010113571260427667,0.009981235377961917,0.009892064616528584,0.009745984900335292,0.009674118895205197
20000,5,gauss,null_gauss,400000,k2,0.0,49,0.06643495839666833,24.919930903997738,0.13995132350693407,0.13995132350693407,0.1321893454711312,0.1321893454711312,0.12950427550111993,0.12950427550111993,0.12544072157509437,0.12544072157509437,0.11441716453812355,0.11441716453812355,0.11343267833436396,0.11343267833436396,0.11114990509315979,0.11114990509315979,0.10698278638443068,0.10698278638443068,0.10581140437325107,0.10581140437325107,0.10513945800675581,0.10513945800675581
20000,5,gauss,null_gauss,400000,k2,0.01,49,0.03834694997678524,24.919930903997738,0.10110599310899133,0.10110599310899133,0.0777032353384162,0.0777032353384162,0.07765366634664257,0.07765366634664257,0.0745182645320666,0.0745182645320666,0.07053585886266557,0.07053585886266557,0.06822174416157058,0.06822174416157058,0.06301144793383102,0.06301144793383102,0.06238565068164707,0.06238565068164707,0.06194877409188606,0.06194877409188606,0.05492608807367663,0.05492608807367663
20000,5,gauss,null_gauss,400000,k2,0.05,199,0.03285230053462374,24.919930903997738,0.11491585903306585,0.0837347702176232,0.08314025091412225,0.07737452904211016,0.07391404462648317,0.07214577273457272,0.07052852351473037,0.07013652953039368,0.06977475990168963,0.06855483077287762,0.06685693108001006,0.06138468716494851,0.05913354311108354,0.05776200785814526,0.057262533802125676,0.05705749799687445,0.056238820201371505,0.056126801531198436,0.05489609497630334,0.054667950102945506
20000,5,gauss,null_gauss,400000,hsic,0.0,199,0.0016384249202917435,24.919930903997738,0.004714461102042669,0.003925947114545658,0.003883784111506402,0.0037539997634861806,0.0034585478563363245,0.003259852377580674,0.0032192592944487,0.0031784744124670416,0.0031522441528070923,0.0030966349697528323,0.0030053430168482187,0.002988484604148838,0.0029721944455057925,0.0029370970658032514,0.0029116618744384534,0.0028919463855192453,0.002875596261448047,0.002798619677642552,0.002766828476226772,0.0027424351726900243
20000,5,gauss,null_gauss,400001,k1,0.0,49,0.003860877523209849,24.71367845599889,0.013133648384435093,0.013133648384435093,0.012454151886934883,0.012454151886934883,0.01240200148708348,0.01240200148708348,0.011941379492458437,0.011941379492458437,0.011875758475297316,0.011875758475297316,0.010703953958553725,0.010703953958553725,0.010648569951142495,0.010648569951142495,0.010611243006308335,0.010611243006308335,0.010470839928317766,0.010470839928317766,0.009914613847029963,0.009914613847029963
20000,5,gauss,null_gauss,400001,k1,0.01,49,0.0038052715867199494,24.71367845599889,0.013936771525064007,0.013936771525064007,0.01154042637213415,0.01154042637213415,0.011485651719971846,0.011485651719971846,0.011253513317667219,0.011253513317667219,0.011072615160986121,0.011072615160986121,0.010778054190273001,0.010778054190273001,0.010459435171069176,0.010459435171069176,0.009780876976669073,0.009780876976669073,0.009635301136878605,0.009635301136878605,0.009543134359514482,0.009543134359514482
20000,5,gauss,null_gauss,400001,k1,0.05,199,0.0035675630203071407,24.71367845599889,0.016595510281921744,0.012732824137977938,0.01254576324918999,0.012486653500308531,0.011835920794367905,0.011727870574557708,0.011431785008414685,0.01112991118670592,0.011012109455608043,0.010689250397385108,0.01060769006587281,0.010389914978624404,0.010053066791649412,0.00985353010186818,0.009844792188831608,0.009822381140768721,0.009351411171291235,0.009265461898736782,0.008980136343874623,0.008920596874302467
20000,5,gauss,null_gauss,400001,k2,0.0,49,0.02552620451388344,24.71367845599889,0.11414381019592076,0.11414381019592076,0.11159499999250946,0.11159499999250946,0.10597447547202687,0.10597447547202687,0.09961016176952688,0.09961016176952688,0.0984239096838739,0.0984239096838739,0.09679963739972038,0.09679963739972038,0.09246585299804211,0.09246585299804211,0.0922866276638993,0.0922866276638993,0.0886347961452527,0.0886347961452527,0.08669953933791442,0.08669953933791442
20000,5,gauss,null_gauss,400001,k2,0.01,49,0.027017792479600244,24.71367845599889,0.12657837137721434,0.12657837137721434,0.0999606462309214,0.0999606462309214,0.0817386694954691,0.0817386694954691,0.07833958270285798,0.07833958270285798,0.07250854741418096,0.07250854741418096,0.07016317003641666,0.07016317003641666,0.069275473266364,0.069275473266364,0.06438311601016714,0.06438311601016714,0.063520634436832,0.063520634436832,0.0627458246416018,0.0627458246416018
