cell,kind,tail,n,seed,arm,feas_contam,stat,engine,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
2-2-5,u_on_x,t3,1000,700000,clean,,kl_plugin,para_boot,99,5.335537836790801e-17,4.97475532326057e-16,4.440892098500627e-16,4.440892098500626e-16,3.9362452691255555e-16,3.931495651907908e-16,3.9197116077230466e-16,3.9153077942897813e-16,3.33066907387547e-16,2.8391199484689117e-16,2.8391199484689117e-16,1.2329469065245955e-16,1.0906473037879372e-16,1.0834060433540175e-16,1.0330132699150137e-16,1.0132132457744147e-16,1.0132132457744147e-16,1.0038380173514929e-16,9.992007221626409e-17,6.903474955905847e-17,6.058323611533215e-17
2-2-5,u_on_x,t3,1000,700000,clean,,kl_split,para_boot,99,0.0007549309564688182,0.04678320858862456,0.034840145358767546,0.02927383553209359,0.024410328842153314,0.024025737798173172,0.018208504632825265,0.01818632067793853,0.017861817016992174,0.016560503239188035,0.016243953814106094,0.014543425330384635,0.014518672126672724,0.01392532647219856,0.013523209022122257,0.01267937696439976,0.012189292960896422,0.011771133519634436,0.011316818928567618,0.010857561935851148,0.009629970393050871
2-2-5,u_on_x,t3,1000,700000,clean,,kl_crossfit,para_boot,99,0.000755311363199002,0.04623230636755278,0.03468641773532455,0.029516476617889364,0.024338061724986933,0.024105486840236362,0.018197412655381898,0.018197412655381898,0.017800378870378386,0.01659934698212001,0.016243953814106357,0.014563027735148976,0.014557774505380011,0.01392151215339519,0.013504144395906692,0.012661618655091897,0.012245949641442322,0.011719468010832665,0.011308801702431454,0.010815772947204344,0.009656682319243756
2-2-5,u_on_x,t3,1000,700000,clean,,cf1_margin,para_boot,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-5,u_on_x,t3,1000,700000,clean,,slack_plugin,para_boot,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-5,u_on_x,t3,1000,700000,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-5,u_on_x,t3,1000,700000,clean,,gtest,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-5,u_on_x,t3,1000,700000,clean,,kl_plugin,crt_cond,99,5.335537836790801e-17,4.440892098500627e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3.9747062168012287e-16,1.0293815422495384e-16,1.0293815422495384e-16,1.0293815422495384e-16,1.0293815422495384e-16,1.0293815422495384e-16,1.0293815422495384e-16,1.0239921100911638e-16,1.0239921100911638e-16,1.0239921100911638e-16,1.0239921100911638e-16,9.970449492992911e-17
2-2-5,u_on_x,t3,1000,700000,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-5,u_on_x,t3,1000,700000,clean,,gtest,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
