cell,tail,family,rho,n,seed,dt_stats_s,stat,engine,stat_obs
2-2-4,t3,mixture,0.8,500,800000,0.01558116600062931,kl_plugin,none,0.7766403465794939
2-2-4,t3,mixture,0.8,500,800000,0.01558116600062931,kl_split,none,0.8981413785852616
2-2-4,t3,mixture,0.8,500,800000,0.01558116600062931,kl_crossfit,none,0.8931584802427808
2-2-4,t3,mixture,0.8,500,800000,0.01558116600062931,cf1_margin,none,0.7738204103896937
2-2-4,t3,mixture,0.8,500,800000,0.01558116600062931,slack_plugin,none,1.5476408207793875
2-2-4,t3,mixture,0.8,500,800000,0.01558116600062931,gm_battery,none,0.0
2-2-4,t3,mixture,0.8,500,800000,0.01558116600062931,gtest,none,9.901063446256616
2-2-4,t3,mixture,0.8,500,800001,0.00845613900310127,kl_plugin,none,0.758279180577204
2-2-4,t3,mixture,0.8,500,800001,0.00845613900310127,kl_split,none,0.8860774219446215
2-2-4,t3,mixture,0.8,500,800001,0.00845613900310127,kl_crossfit,none,1.1526153862633066
2-2-4,t3,mixture,0.8,500,800001,0.00845613900310127,cf1_margin,none,0.7461538461538462
2-2-4,t3,mixture,0.8,500,800001,0.00845613900310127,slack_plugin,none,1.4923076923076923
2-2-4,t3,mixture,0.8,500,800001,0.00845613900310127,gm_battery,none,0.0
2-2-4,t3,mixture,0.8,500,800001,0.00845613900310127,gtest,none,11.280877289470652
2-2-4,t3,mixture,0.8,500,800002,0.007172616999014281,kl_plugin,none,0.8072571944249782
2-2-4,t3,mixture,0.8,500,800002,0.007172616999014281,kl_split,none,1.435415194546818
2-2-4,t3,mixture,0.8,500,800002,0.007172616999014281,kl_crossfit,none,1.3644588371309256
2-2-4,t3,mixture,0.8,500,800002,0.007172616999014281,cf1_margin,none,0.7891609795262946
2-2-4,t3,mixture,0.8,500,800002,0.007172616999014281,slack_plugin,none,1.5783219590525892
2-2-4,t3,mixture,0.8,500,800002,0.007172616999014281,gm_battery,none,0.0
2-2-4,t3,mixture,0.8,500,800002,0.007172616999014281,gtest,none,16.583025321021317
2-2-4,t3,mixture,0.8,500,800003,0.006867427997349296,kl_plugin,none,0.8059851275296774
2-2-4,t3,mixture,0.8,500,800003,0.006867427997349296,kl_split,none,1.0224852280322778
2-2-4,t3,mixture,0.8,500,800003,0.006867427997349296,kl_crossfit,none,0.9379004721696411
2-2-4,t3,mixture,0.8,500,800003,0.006867427997349296,cf1_margin,none,0.7839395491803278
2-2-4,t3,mixture,0.8,500,800003,0.006867427997349296,slack_plugin,none,1.567879098360656
2-2-4,t3,mixture,0.8,500,800003,0.006867427997349296,gm_battery,none,0.0
2-2-4,t3,mixture,0.8,500,800003,0.006867427997349296,gtest,none,6.959016252095701
2-2-4,t3,mixture,0.8,500,800004,0.012470038003812078,kl_plugin,none,0.7481312026181471
2-2-4,t3,mixture,0.8,500,800004,0.012470038003812078,kl_split,none,0.8393634605925218
2-2-4,t3,mixture,0.8,500,800004,0.012470038003812078,kl_crossfit,none,1.1903879043098282
2-2-4,t3,mixture,0.8,500,800004,0.012470038003812078,cf1_margin,none,0.7560835040983607
2-2-4,t3,mixture,0.8,500,800004,0.012470038003812078,slack_plugin,none,1.5121670081967213
2-2-4,t3,mixture,0.8,500,800004,0.012470038003812078,gm_battery,none,0.0
2-2-4,t3,mixture,0.8,500,800004,0.012470038003812078,gtest,none,15.762575479974014
2-2-4,t3,mixture,0.8,500,800005,0.006713551003485918,kl_plugin,none,0.8301991914293599
2-2-4,t3,mixture,0.8,500,800005,0.006713551003485918,kl_split,none,0.9272368049686738
2-2-4,t3,mixture,0.8,500,800005,0.006713551003485918,kl_crossfit,none,1.169766133099711
2-2-4,t3,mixture,0.8,500,800005,0.006713551003485918,cf1_margin,none,0.8059193631227529
2-2-4,t3,mixture,0.8,500,800005,0.006713551003485918,slack_plugin,none,1.6118387262455058
2-2-4,t3,mixture,0.8,500,800005,0.006713551003485918,gm_battery,none,0.0
2-2-4,t3,mixture,0.8,500,800005,0.006713551003485918,gtest,none,5.5449351719395725
