n,d,noise,kind,b,seed,method,stat_obs
20000,2,t3,conf_lin,0.2,500000,k1,0.00796740127318507
20000,2,t3,conf_lin,0.2,500000,k2,0.049002093808899826
20000,2,t3,conf_lin,0.2,500000,hsic,0.004967482924210843
20000,2,t3,conf_lin,0.2,500001,k1,0.005839947903321319
20000,2,t3,conf_lin,0.2,500001,k2,0.04648903045439409
20000,2,t3,conf_lin,0.2,500001,hsic,0.0027826134300247556
20000,2,t3,conf_lin,0.2,500002,k1,0.007040556272000287
20000,2,t3,conf_lin,0.2,500002,k2,0.04116149511783112
20000,2,t3,conf_lin,0.2,500002,hsic,0.006082844933675615
20000,2,t3,conf_lin,0.2,500003,k1,0.00810624678920413
20000,2,t3,conf_lin,0.2,500003,k2,0.06660389734630405
20000,2,t3,conf_lin,0.2,500003,hsic,0.003840226931946205
20000,2,t3,conf_lin,0.2,500004,k1,0.010167069406286422
20000,2,t3,conf_lin,0.2,500004,k2,0.03884782671609655
20000,2,t3,conf_lin,0.2,500004,hsic,0.001287187131501536
20000,2,t3,conf_lin,0.2,500005,k1,0.00808259081694429
20000,2,t3,conf_lin,0.2,500005,k2,0.04024586716673137
20000,2,t3,conf_lin,0.2,500005,hsic,0.0032650969574988366
20000,2,t3,conf_lin,0.2,500006,k1,0.005868972909456427
20000,2,t3,conf_lin,0.2,500006,k2,0.030144309516731915
20000,2,t3,conf_lin,0.2,500006,hsic,0.00169696748099133
20000,2,t3,conf_lin,0.2,500007,k1,0.006614190868006409
20000,2,t3,conf_lin,0.2,500007,k2,0.05527960313451042
20000,2,t3,conf_lin,0.2,500007,hsic,0.00340145354430489
20000,2,t3,conf_lin,0.2,500008,k1,0.009207769465563231
20000,2,t3,conf_lin,0.2,500008,k2,0.06361543557122669
20000,2,t3,conf_lin,0.2,500008,hsic,0.004211479106574439
20000,2,t3,conf_lin,0.2,500009,k1,0.00791009927591213
20000,2,t3,conf_lin,0.2,500009,k2,0.07835689208182806
20000,2,t3,conf_lin,0.2,500009,hsic,0.0015188382599455436
20000,2,t3,conf_lin,0.2,500010,k1,0.0066823756105816035
20000,2,t3,conf_lin,0.2,500010,k2,0.04488908280686647
20000,2,t3,conf_lin,0.2,500010,hsic,0.0029088446753829326
20000,2,t3,conf_lin,0.2,500011,k1,0.007506759726168322
20000,2,t3,conf_lin,0.2,500011,k2,0.0827677826240856
20000,2,t3,conf_lin,0.2,500011,hsic,0.0010004095759910544
20000,2,t3,conf_lin,0.2,500012,k1,0.006976718275282345
20000,2,t3,conf_lin,0.2,500012,k2,0.1578637855675139
20000,2,t3,conf_lin,0.2,500012,hsic,0.0020451119108083446
20000,2,t3,conf_lin,0.2,500013,k1,0.005203660233022878
20000,2,t3,conf_lin,0.2,500013,k2,0.04296555540499526
20000,2,t3,conf_lin,0.2,500013,hsic,0.003978422372548694
20000,2,t3,conf_lin,0.2,500014,k1,0.005747913601705457
20000,2,t3,conf_lin,0.2,500014,k2,0.06395279444839876
20000,2,t3,conf_lin,0.2,500014,hsic,0.001151975748211923
20000,2,t3,conf_lin,0.2,500015,k1,0.008605809128821806
20000,2,t3,conf_lin,0.2,500015,k2,0.04134653621918205
20000,2,t3,conf_lin,0.2,500015,hsic,0.0032539354767574394
20000,2,t3,conf_lin,0.2,500016,k1,0.011684060885703063
20000,2,t3,conf_lin,0.2,500016,k2,0.0749212578952109
20000,2,t3,conf_lin,0.2,500016,hsic,0.0033443953723985695
20000,2,t3,conf_lin,0.2,500017,k1,0.014396418648116138
20000,2,t3,conf_lin,0.2,500017,k2,0.05508235560140226
20000,2,t3,conf_lin,0.2,500017,hsic,6.626168185353611e-05
20000,2,t3,conf_lin,0.2,500018,k1,0.005421508768152283
20000,2,t3,conf_lin,0.2,500018,k2,0.04381057963138632
20000,2,t3,conf_lin,0.2,500018,hsic,0.000496622294008744
20000,2,t3,conf_lin,0.2,500019,k1,0.0097457618452238
20000,2,t3,conf_lin,0.2,500019,k2,0.07071810848177608
20000,2,t3,conf_lin,0.2,500019,hsic,0.003699754749379906
20000,2,t3,conf_lin,0.2,500020,k1,0.008376100617586646
20000,2,t3,conf_lin,0.2,500020,k2,0.08566065527882623
20000,2,t3,conf_lin,0.2,500020,hsic,0.0010109173151271217
20000,2,t3,conf_lin,0.2,500021,k1,0.008114853482748985
20000,2,t3,conf_lin,0.2,500021,k2,0.0960087811085253
20000,2,t3,conf_lin,0.2,500021,hsic,0.0007507286743674627
20000,2,t3,conf_lin,0.2,500022,k1,0.009298304599358986
20000,2,t3,conf_lin,0.2,500022,k2,0.11318181975080012
20000,2,t3,conf_lin,0.2,500022,hsic,0.002389883830875458
20000,2,t3,conf_lin,0.2,500023,k1,0.01002997817230522
20000,2,t3,conf_lin,0.2,500023,k2,0.041809403853167046
20000,2,t3,conf_lin,0.2,500023,hsic,0.002270441274500633
20000,2,t3,conf_lin,0.2,500024,k1,0.0054147829785688995
20000,2,t3,conf_lin,0.2,500024,k2,0.08039602724004896
20000,2,t3,conf_lin,0.2,500024,hsic,0.0019623556506384652
20000,2,t3,conf_lin,0.2,500025,k1,0.009645504680914518
20000,2,t3,conf_lin,0.2,500025,k2,0.10149793451062557
20000,2,t3,conf_lin,0.2,500025,hsic,0.0008301889240907405
20000,2,t3,conf_lin,0.2,500026,k1,0.005947176068300086
20000,2,t3,conf_lin,0.2,500026,k2,0.04632946729865333
20000,2,t3,conf_lin,0.2,500026,hsic,0.004625001090844911
20000,2,t3,conf_lin,0.2,500027,k1,0.007445531673658468
20000,2,t3,conf_lin,0.2,500027,k2,0.045338273436826566
20000,2,t3,conf_lin,0.2,500027,hsic,0.003148990369437062
20000,2,t3,conf_lin,0.2,500028,k1,0.009323626844691901
20000,2,t3,conf_lin,0.2,500028,k2,0.06635364614784704
20000,2,t3,conf_lin,0.2,500028,hsic,0.003455723445122163
20000,2,t3,conf_lin,0.2,500029,k1,0.008327677270776546
20000,2,t3,conf_lin,0.2,500029,k2,0.08720444818137693
20000,2,t3,conf_lin,0.2,500029,hsic,0.003998837029101158
20000,2,t3,conf_lin,0.2,500030,k1,0.005492717274452885
20000,2,t3,conf_lin,0.2,500030,k2,0.04387559716969046
20000,2,t3,conf_lin,0.2,500030,hsic,0.0027901698794474236
20000,2,t3,conf_lin,0.2,500031,k1,0.012824607647641484
20000,2,t3,conf_lin,0.2,500031,k2,0.04062428535610766
20000,2,t3,conf_lin,0.2,500031,hsic,0.0019438110874014868
20000,2,t3,conf_lin,0.2,500032,k1,0.004013773706570967
20000,2,t3,conf_lin,0.2,500032,k2,0.03434371932494134
20000,2,t3,conf_lin,0.2,500032,hsic,0.00011025470151746095
20000,2,t3,conf_lin,0.2,500033,k1,0.005118618833023003
20000,2,t3,conf_lin,0.2,500033,k2,0.041409531073336274
20000,2,t3,conf_lin,0.2,500033,hsic,0.00577450366597568
20000,2,t3,conf_lin,0.2,500034,k1,0.010466515298568124
20000,2,t3,conf_lin,0.2,500034,k2,0.05846574203585362
20000,2,t3,conf_lin,0.2,500034,hsic,0.0035668792516301722
20000,2,t3,conf_lin,0.2,500035,k1,0.007426572550948918
20000,2,t3,conf_lin,0.2,500035,k2,0.04722849465976875
20000,2,t3,conf_lin,0.2,500035,hsic,0.0012486952824569597
20000,2,t3,conf_lin,0.2,500036,k1,0.009757574406431213
20000,2,t3,conf_lin,0.2,500036,k2,0.05906692690545704
20000,2,t3,conf_lin,0.2,500036,hsic,3.928904431656166e-05
20000,2,t3,conf_lin,0.2,500037,k1,0.012413311687672235
20000,2,t3,conf_lin,0.2,500037,k2,0.033536666586706135
20000,2,t3,conf_lin,0.2,500037,hsic,0.0012939426341408268
20000,2,t3,conf_lin,0.2,500038,k1,0.003567200338026155
20000,2,t3,conf_lin,0.2,500038,k2,0.037883509369839384
20000,2,t3,conf_lin,0.2,500038,hsic,0.0001696661149995824
20000,2,t3,conf_lin,0.2,500039,k1,0.007646676137135766
20000,2,t3,conf_lin,0.2,500039,k2,0.08758374692330874
20000,2,t3,conf_lin,0.2,500039,hsic,0.0021953828187569534
20000,2,t3,conf_lin,0.2,500040,k1,0.005761866792940329
20000,2,t3,conf_lin,0.2,500040,k2,0.0638014226178268
20000,2,t3,conf_lin,0.2,500040,hsic,0.002497081897860454
20000,2,t3,conf_lin,0.2,500041,k1,0.012858842785826496
20000,2,t3,conf_lin,0.2,500041,k2,0.030350678296654457
20000,2,t3,conf_lin,0.2,500041,hsic,0.001406219028891261
20000,2,t3,conf_lin,0.2,500042,k1,0.011110291277498185
20000,2,t3,conf_lin,0.2,500042,k2,0.044943594350428065
20000,2,t3,conf_lin,0.2,500042,hsic,0.0018819345226209656
20000,2,t3,conf_lin,0.2,500043,k1,0.007170598795882777
20000,2,t3,conf_lin,0.2,500043,k2,0.0992996251460483
20000,2,t3,conf_lin,0.2,500043,hsic,0.003564743699772491
20000,2,t3,conf_lin,0.2,500044,k1,0.005855189745842204
20000,2,t3,conf_lin,0.2,500044,k2,0.1189552207012098
20000,2,t3,conf_lin,0.2,500044,hsic,0.0007943094724688636
20000,2,t3,conf_lin,0.2,500045,k1,0.0078071239954915495
20000,2,t3,conf_lin,0.2,500045,k2,0.08630709932349827
20000,2,t3,conf_lin,0.2,500045,hsic,0.00592230603020115
20000,2,t3,conf_lin,0.2,500046,k1,0.007156657548111456
20000,2,t3,conf_lin,0.2,500046,k2,0.07837115558387522
20000,2,t3,conf_lin,0.2,500046,hsic,0.004225652052844504
20000,2,t3,conf_lin,0.2,500047,k1,0.008253334298372716
20000,2,t3,conf_lin,0.2,500047,k2,0.08166543747262624
20000,2,t3,conf_lin,0.2,500047,hsic,0.0025600124222087874
20000,2,t3,conf_lin,0.2,500048,k1,0.007223581867824125
20000,2,t3,conf_lin,0.2,500048,k2,0.05303360686052771
20000,2,t3,conf_lin,0.2,500048,hsic,0.00651656757225585
20000,2,t3,conf_lin,0.2,500049,k1,0.008639301143495093
20000,2,t3,conf_lin,0.2,500049,k2,0.0631210222528743
20000,2,t3,conf_lin,0.2,500049,hsic,0.002407951828435722
20000,2,t3,conf_lin,0.2,500050,k1,0.013493013229841644
20000,2,t3,conf_lin,0.2,500050,k2,0.05810012256351784
20000,2,t3,conf_lin,0.2,500050,hsic,0.00030071837413338085
20000,2,t3,conf_lin,0.2,500051,k1,0.008037124095956694
20000,2,t3,conf_lin,0.2,500051,k2,0.034575212915450904
20000,2,t3,conf_lin,0.2,500051,hsic,0.002716559107438939
20000,2,t3,conf_lin,0.2,500052,k1,0.011880746743033188
20000,2,t3,conf_lin,0.2,500052,k2,0.05641314156797839
20000,2,t3,conf_lin,0.2,500052,hsic,0.0018590521317327219
20000,2,t3,conf_lin,0.2,500053,k1,0.004144158194782754
20000,2,t3,conf_lin,0.2,500053,k2,0.0480746099707129
20000,2,t3,conf_lin,0.2,500053,hsic,0.005168968305227159
20000,2,t3,conf_lin,0.2,500054,k1,0.011009004407697698
20000,2,t3,conf_lin,0.2,500054,k2,0.1009648312398048
20000,2,t3,conf_lin,0.2,500054,hsic,0.0038278892168247497
20000,2,t3,conf_lin,0.2,500055,k1,0.011146972145003486
20000,2,t3,conf_lin,0.2,500055,k2,0.018192420204659103
20000,2,t3,conf_lin,0.2,500055,hsic,0.002868753464719196
20000,2,t3,conf_lin,0.2,500056,k1,0.0034076761461362404
20000,2,t3,conf_lin,0.2,500056,k2,0.09317010073469134
20000,2,t3,conf_lin,0.2,500056,hsic,0.0026851355446934075
20000,2,t3,conf_lin,0.2,500057,k1,0.0070785485934314885
20000,2,t3,conf_lin,0.2,500057,k2,0.06978352064291307
20000,2,t3,conf_lin,0.2,500057,hsic,0.0017803895847977487
20000,2,t3,conf_lin,0.2,500058,k1,0.005104789353080452
20000,2,t3,conf_lin,0.2,500058,k2,0.050310817839596005
20000,2,t3,conf_lin,0.2,500058,hsic,0.003849011679021035
20000,2,t3,conf_lin,0.2,500059,k1,0.007467326549398856
20000,2,t3,conf_lin,0.2,500059,k2,0.08162081399396488
20000,2,t3,conf_lin,0.2,500059,hsic,0.0031749575608376133
20000,2,t3,conf_lin,0.2,500060,k1,0.01138786775958267
20000,2,t3,conf_lin,0.2,500060,k2,0.05378704629331859
20000,2,t3,conf_lin,0.2,500060,hsic,0.004980119567837075
20000,2,t3,conf_lin,0.2,500061,k1,0.008261392548407187
20000,2,t3,conf_lin,0.2,500061,k2,0.028968553755922135
20000,2,t3,conf_lin,0.2,500061,hsic,0.0014742780743373393
20000,2,t3,conf_lin,0.2,500062,k1,0.008003129559758904
20000,2,t3,conf_lin,0.2,500062,k2,0.11340190350911604
20000,2,t3,conf_lin,0.2,500062,hsic,0.004791969967002977
20000,2,t3,conf_lin,0.2,500063,k1,0.009443399515430162
20000,2,t3,conf_lin,0.2,500063,k2,0.040249931482520866
20000,2,t3,conf_lin,0.2,500063,hsic,0.0015932402935910322
20000,2,t3,conf_lin,0.2,500064,k1,0.009815426151816298
20000,2,t3,conf_lin,0.2,500064,k2,0.05865265487275987
20000,2,t3,conf_lin,0.2,500064,hsic,0.002418871101165374
20000,2,t3,conf_lin,0.2,500065,k1,0.007176519612602128
20000,2,t3,conf_lin,0.2,500065,k2,0.05065645650962569
20000,2,t3,conf_lin,0.2,500065,hsic,0.0032691221573714047
20000,2,t3,conf_lin,0.2,500066,k1,0.004759351381984689
20000,2,t3,conf_lin,0.2,500066,k2,0.047407768409928434
20000,2,t3,conf_lin,0.2,500066,hsic,0.00018455115533040517
20000,2,t3,conf_lin,0.2,500067,k1,0.008448858936508041
20000,2,t3,conf_lin,0.2,500067,k2,0.08284921231533278
20000,2,t3,conf_lin,0.2,500067,hsic,0.00250324912718374
20000,2,t3,conf_lin,0.2,500068,k1,0.008927852303841188
20000,2,t3,conf_lin,0.2,500068,k2,0.07588216605887732
20000,2,t3,conf_lin,0.2,500068,hsic,0.003655522187242358
20000,2,t3,conf_lin,0.2,500069,k1,0.009554986019352674
20000,2,t3,conf_lin,0.2,500069,k2,0.04441336237564858
20000,2,t3,conf_lin,0.2,500069,hsic,0.001060655537138993
20000,2,t3,conf_lin,0.2,500070,k1,0.007462258137062694
20000,2,t3,conf_lin,0.2,500070,k2,0.11882912893230546
20000,2,t3,conf_lin,0.2,500070,hsic,0.004822299918228782
20000,2,t3,conf_lin,0.2,500071,k1,0.007240614303607562
20000,2,t3,conf_lin,0.2,500071,k2,0.031654196511485246
20000,2,t3,conf_lin,0.2,500071,hsic,0.0050023904556661565
20000,2,t3,conf_lin,0.2,500072,k1,0.006604797942778351
20000,2,t3,conf_lin,0.2,500072,k2,0.06064784262589398
20000,2,t3,conf_lin,0.2,500072,hsic,0.0022740123178108316
20000,2,t3,conf_lin,0.2,500073,k1,0.011100264507719726
20000,2,t3,conf_lin,0.2,500073,k2,0.09154634369820958
20000,2,t3,conf_lin,0.2,500073,hsic,0.005334099688240816
20000,2,t3,conf_lin,0.2,500074,k1,0.008037166880891733
20000,2,t3,conf_lin,0.2,500074,k2,0.044355264887725454
20000,2,t3,conf_lin,0.2,500074,hsic,0.0032114302440487434
20000,2,t3,conf_lin,0.2,500075,k1,0.007082791731516713
20000,2,t3,conf_lin,0.2,500075,k2,0.053894845345710415
20000,2,t3,conf_lin,0.2,500075,hsic,0.008237506643097522
20000,2,t3,conf_lin,0.2,500076,k1,0.010251903851719701
20000,2,t3,conf_lin,0.2,500076,k2,0.07095744171663809
20000,2,t3,conf_lin,0.2,500076,hsic,0.003518275506767071
20000,2,t3,conf_lin,0.2,500077,k1,0.005954396881102109
20000,2,t3,conf_lin,0.2,500077,k2,0.05151061405744235
20000,2,t3,conf_lin,0.2,500077,hsic,0.0032461466537982474
20000,2,t3,conf_lin,0.2,500078,k1,0.006391938136539599
20000,2,t3,conf_lin,0.2,500078,k2,0.02707594529352426
20000,2,t3,conf_lin,0.2,500078,hsic,0.003341275965688898
20000,2,t3,conf_lin,0.2,500079,k1,0.005372949445063169
20000,2,t3,conf_lin,0.2,500079,k2,0.05493769018216006
20000,2,t3,conf_lin,0.2,500079,hsic,0.0028199797555673277
20000,2,t3,conf_lin,0.2,500080,k1,0.006146017709601548
20000,2,t3,conf_lin,0.2,500080,k2,0.041303137223816705
20000,2,t3,conf_lin,0.2,500080,hsic,0.003369747771961945
20000,2,t3,conf_lin,0.2,500081,k1,0.004601027275419334
20000,2,t3,conf_lin,0.2,500081,k2,0.08129840606318574
20000,2,t3,conf_lin,0.2,500081,hsic,0.006046426630799635
20000,2,t3,conf_lin,0.2,500082,k1,0.005204083826635508
20000,2,t3,conf_lin,0.2,500082,k2,0.07170310625925029
20000,2,t3,conf_lin,0.2,500082,hsic,0.004129490992645045
20000,2,t3,conf_lin,0.2,500083,k1,0.007348986611484309
20000,2,t3,conf_lin,0.2,500083,k2,0.05011161615531817
20000,2,t3,conf_lin,0.2,500083,hsic,0.004316208607362299
20000,2,t3,conf_lin,0.2,500084,k1,0.006793206252571848
20000,2,t3,conf_lin,0.2,500084,k2,0.08057642658366511
20000,2,t3,conf_lin,0.2,500084,hsic,0.0037075031183626942
20000,2,t3,conf_lin,0.2,500085,k1,0.011693928762946615
20000,2,t3,conf_lin,0.2,500085,k2,0.0661015913866819
20000,2,t3,conf_lin,0.2,500085,hsic,0.001995142596515466
20000,2,t3,conf_lin,0.2,500086,k1,0.01163314648283631
20000,2,t3,conf_lin,0.2,500086,k2,0.06229498363692343
20000,2,t3,conf_lin,0.2,500086,hsic,0.00015639687655740343
20000,2,t3,conf_lin,0.2,500087,k1,0.007445650781664259
20000,2,t3,conf_lin,0.2,500087,k2,0.050905106641848795
20000,2,t3,conf_lin,0.2,500087,hsic,0.0044004300315493875
20000,2,t3,conf_lin,0.2,500088,k1,0.007234538427494885
20000,2,t3,conf_lin,0.2,500088,k2,0.05308258631859838
20000,2,t3,conf_lin,0.2,500088,hsic,0.002641102382948293
20000,2,t3,conf_lin,0.2,500089,k1,0.008896349602244169
20000,2,t3,conf_lin,0.2,500089,k2,0.035567447283905027
20000,2,t3,conf_lin,0.2,500089,hsic,0.007826002701024199
20000,2,t3,conf_lin,0.2,500090,k1,0.010924878603026822
20000,2,t3,conf_lin,0.2,500090,k2,0.04420227972060977
20000,2,t3,conf_lin,0.2,500090,hsic,0.0036005329559505883
20000,2,t3,conf_lin,0.2,500091,k1,0.006275156539261695
20000,2,t3,conf_lin,0.2,500091,k2,0.04389135480908092
20000,2,t3,conf_lin,0.2,500091,hsic,0.0029349805471129537
20000,2,t3,conf_lin,0.2,500092,k1,0.009680480188614227
20000,2,t3,conf_lin,0.2,500092,k2,0.029780674600579975
20000,2,t3,conf_lin,0.2,500092,hsic,0.004573259122524343
20000,2,t3,conf_lin,0.2,500093,k1,0.006521608655072342
20000,2,t3,conf_lin,0.2,500093,k2,0.043085072942192354
20000,2,t3,conf_lin,0.2,500093,hsic,0.003384277244153937
20000,2,t3,conf_lin,0.2,500094,k1,0.011047057615762301
20000,2,t3,conf_lin,0.2,500094,k2,0.0783803931368978
20000,2,t3,conf_lin,0.2,500094,hsic,0.0002781304583188543
20000,2,t3,conf_lin,0.2,500095,k1,0.01360109389157893
20000,2,t3,conf_lin,0.2,500095,k2,0.05613614535234443
20000,2,t3,conf_lin,0.2,500095,hsic,0.004573917050920206
20000,2,t3,conf_lin,0.2,500096,k1,0.012527535242997434
20000,2,t3,conf_lin,0.2,500096,k2,0.09737755604145526
20000,2,t3,conf_lin,0.2,500096,hsic,0.004798392385309608
20000,2,t3,conf_lin,0.2,500097,k1,0.005917332713519907
20000,2,t3,conf_lin,0.2,500097,k2,0.07354479504445001
20000,2,t3,conf_lin,0.2,500097,hsic,0.000602103365588983
20000,2,t3,conf_lin,0.2,500098,k1,0.006681370524138863
20000,2,t3,conf_lin,0.2,500098,k2,0.030076788127735746
20000,2,t3,conf_lin,0.2,500098,hsic,0.00370922263376399
20000,2,t3,conf_lin,0.2,500099,k1,0.012652743595791605
20000,2,t3,conf_lin,0.2,500099,k2,0.046087134044664205
20000,2,t3,conf_lin,0.2,500099,hsic,0.0027504307132280616
20000,2,t3,conf_lin,0.2,500100,k1,0.012104355659826704
