cell,kind,tail,n,seed,arm,feas_contam,stat,engine,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
2-2-4,u_on_y,none,500,700002,clean,,slack_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700002,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700002,clean,,gtest,para_boot,99,193.7664247925261,251.20988850521837,246.9469282000814,236.3928508159927,235.9439319108642,234.8508147076447,230.70127916608448,224.62819505836876,224.56941932178796,223.01171979821657,222.16737902504158,220.84172685456008,218.83261123968538,218.019125529308,217.2523581326742,217.14493885322466,215.70524532857462,214.71669932968578,213.40746577120728,211.55955361092396,211.41726432282073
2-2-4,u_on_y,none,500,700002,clean,,kl_plugin,crt_cond,99,0.0,1.3061447348531254e-16,1.3061447348531254e-16,1.3061447348531254e-16,1.240837498110469e-16,1.240837498110469e-16,1.207881531420888e-16,1.207881531420888e-16,1.192461767189983e-16,1.1821819243693797e-16,1.1821819243693797e-16,1.1755302613678128e-16,1.1755302613678128e-16,1.1564823173178715e-16,1.1564823173178715e-16,1.1020596200323245e-16,8.489940776545315e-17,8.489940776545315e-17,8.489940776545315e-17,8.489940776545315e-17,8.489940776545315e-17
2-2-4,u_on_y,none,500,700002,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700002,clean,,gtest,crt_cond,99,193.7664247925261,227.26246249055822,225.54815578053916,223.89221385166837,222.01829030809807,221.75546885432027,218.9611944719782,217.59225868886992,216.930557122197,216.78566487224026,215.76138708908704,215.18498153998962,214.89877934187922,213.48728869764983,213.2088122858952,212.90795813625095,212.1072679508357,211.42451481368192,211.18709373264443,208.58174349601302,206.351828499432
2-2-4,u_on_y,none,500,700003,clean,,kl_plugin,para_boot,99,0.0003578089242880691,0.02002093329316862,0.008714963649856224,0.008091484872807322,0.008013169808190217,0.007280038357042412,0.006610175757504659,0.006477701001029776,0.006392869947294287,0.006302431768926593,0.006208315181323053,0.005617184805181051,0.005417644325384302,0.005364540738769137,0.005189919955488301,0.00497692507310666,0.004891413604896047,0.004776331807695718,0.004515534477940938,0.004469395781462174,0.0043860440410888255
2-2-4,u_on_y,none,500,700003,clean,,kl_split,para_boot,99,0.009074450912793214,0.08498117131974559,0.07680395136362997,0.07048545731135278,0.06218654749435029,0.057019423000137986,0.05587496549538687,0.04543379403380665,0.04265661182713745,0.03557291629431081,0.03499207754388173,0.03346706965802067,0.03270825974832517,0.03254594383219675,0.031977048348071996,0.03147966547045561,0.030290599879385843,0.028629969432100458,0.02817757864927925,0.026421457643271723,0.023800668156833377
2-2-4,u_on_y,none,500,700003,clean,,kl_crossfit,para_boot,99,0.0063126040645917324,0.07732276762954687,0.06417223601899619,0.06335643094025771,0.06238565656756463,0.045807553190824996,0.04541948499916551,0.04153556931713202,0.04072690672025184,0.040557086627615764,0.04023578183544185,0.03848890490509625,0.03437781880329478,0.03250388205746191,0.03193469750746923,0.030677135041687786,0.03025429565797992,0.02781271786941017,0.027751207888119328,0.024627595730912583,0.02430506308478391
2-2-4,u_on_y,none,500,700003,clean,,cf1_margin,para_boot,99,0.018873403019744384,0.1410860898217764,0.09322390572390571,0.08966222410267255,0.0892687559354226,0.0852456745007707,0.08087912087912086,0.08023518769787419,0.07917205221095558,0.0791146778064824,0.07862135540499482,0.07480293459066834,0.07326203208556148,0.07309982983550767,0.07196907235383576,0.07049847989445301,0.06985942693728986,0.06907005624954343,0.06707980597207619,0.06669231755803517,0.0662020905923345
2-2-4,u_on_y,none,500,700003,clean,,slack_plugin,para_boot,99,0.037746806039488934,0.2821721796435528,0.18644781144781142,0.17932444820534515,0.1785375118708452,0.1704913490015414,0.16175824175824177,0.16047037539574854,0.15834410442191116,0.15822935561296464,0.15724271080998947,0.14960586918133667,0.14652406417112296,0.14619965967101534,0.14393814470767147,0.1409969597889062,0.13971885387457988,0.13814011249908686,0.13415961194415238,0.13338463511607035,0.132404181184669
2-2-4,u_on_y,none,500,700003,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700003,clean,,gtest,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700003,clean,,kl_plugin,crt_cond,99,0.0003578089242880691,0.02088094389800875,0.013038522763772813,0.012155959261197509,0.011044214190018851,0.010443514647250941,0.00925615484432444,0.00900317071072277,0.008770204054496786,0.007350097813765805,0.007078093579468987,0.007078093579468987,0.006811674600366101,0.006263176742529505,0.006042255909073993,0.00597712181540417,0.005671841263054762,0.005584668616036674,0.00523180715839084,0.0043860440410888255,0.0039826375794618125
2-2-4,u_on_y,none,500,700003,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700003,clean,,gtest,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700004,clean,,kl_plugin,para_boot,99,0.0,1.0560658039117342e-16,8.881784197001252e-17,8.562890349502539e-17,8.26212483441977e-17,7.81847200440251e-17,7.642465471838286e-17,7.53571068527956e-17,7.439638824807751e-17,7.401486830834378e-17,7.316216245225688e-17,7.247289188525328e-17,7.224417767895755e-17,7.141133022714576e-17,7.1075025408246e-17,7.094595913458319e-17,7.094595913458319e-17,7.080503983578804e-17,6.752902933287034e-17,6.735002234692892e-17,6.716849298982197e-17
2-2-4,u_on_y,none,500,700004,clean,,kl_split,para_boot,99,0.00042501162400210117,0.06627772298751902,0.045000442702303745,0.041749394300466994,0.037312330566194485,0.03499714517771106,0.02875779763226044,0.026703165176914845,0.02235914385949221,0.021363073697863402,0.021350051988236154,0.020821248664211645,0.020683360828459965,0.019406790941157062,0.019348489329091875,0.016394438271349843,0.01560408840574612,0.013913133791448137,0.01381040987141749,0.012670159882427881,0.012267176159472162
2-2-4,u_on_y,none,500,700004,clean,,kl_crossfit,para_boot,99,0.00042483339065116973,0.06783946221387427,0.045391471979702516,0.04193463863072228,0.03721242937007716,0.03444457976537705,0.02873258769218802,0.026568427145598983,0.022367974135419078,0.02134409546252522,0.02128026862682956,0.020692988722665222,0.020609290776937808,0.019475578307304058,0.019460688006445084,0.016325042709453723,0.015649632003072983,0.013945668217498229,0.013806775518566697,0.01259854093848875,0.012278380125096862
2-2-4,u_on_y,none,500,700004,clean,,cf1_margin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700004,clean,,slack_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700004,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700004,clean,,gtest,para_boot,99,679.638239607092,689.9437584583994,689.9437584583994,689.9437584583994,689.6150198775522,687.7293893152671,687.3037899231932,687.3037899231931,686.8620016589055,686.8620016589055,686.4040100950231,686.4040100950231,685.929800252373,685.4393565969992,685.4393565969992,684.4097029195598,683.8704590270675,683.8704590270675,683.8704590270675,683.8704590270675,683.8704590270675
2-2-4,u_on_y,none,500,700004,clean,,kl_plugin,crt_cond,99,0.0,8.021228551119552e-17,7.861866394474792e-17,7.861866394474792e-17,7.543142081185274e-17,7.543142081185274e-17,7.543142081185274e-17,7.383779924540515e-17,7.383779924540515e-17,7.383779924540515e-17,7.383779924540515e-17,7.383779924540515e-17,7.383779924540515e-17,7.224417767895755e-17,7.224417767895755e-17,7.224417767895755e-17,7.224417767895755e-17,7.224417767895755e-17,7.224417767895755e-17,7.224417767895755e-17,6.905693454606238e-17
2-2-4,u_on_y,none,500,700004,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700004,clean,,gtest,crt_cond,99,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092,679.638239607092
2-2-4,u_on_y,none,500,700005,clean,,kl_plugin,para_boot,99,0.00014734581472931104,0.021005917456411477,0.01613305362331434,0.015102197595974448,0.01465897687758954,0.013521807625489629,0.013074695249534446,0.012506575130959902,0.011864976142252577,0.01099075981542958,0.008576554013060969,0.00844305905172732,0.008180413850445017,0.0077699946436756845,0.007183326865466057,0.007115822004784306,0.007003599408469431,0.00697906646390823,0.006667825262961627,0.006315627764707135,0.006133042482730305
2-2-4,u_on_y,none,500,700005,clean,,kl_split,para_boot,99,0.0012513852100251022,0.09553587217851461,0.08807178739250182,0.08222054791594685,0.07385825460398313,0.06234004062133322,0.05924318070594645,0.055789068009347714,0.054211993309453255,0.053493536428148636,0.05138737017089395,0.050587539835681344,0.0459567472693887,0.04439400501731633,0.04402937043154066,0.043894608206270225,0.04227002020053222,0.040163789571115965,0.037060162235387994,0.03553441254222306,0.035291572259244675
2-2-4,u_on_y,none,500,700005,clean,,kl_crossfit,para_boot,99,0.0022757178483562776,0.11101792529908124,0.08453791315984688,0.08164124739240514,0.06168152802790061,0.05785888150616354,0.056161446468872805,0.05419036726724549,0.051374849399873176,0.048615518191898355,0.04842062909282284,0.04627968168690204,0.04197779103518993,0.04162915121205829,0.04136629674449524,0.04131591374054851,0.04075992482624763,0.039897099356859964,0.03939170050449356,0.03915661612194579,0.03903718901482382
2-2-4,u_on_y,none,500,700005,clean,,cf1_margin,para_boot,99,0.012126495997463738,0.14217024041585447,0.12671863926293403,0.12271802594383241,0.12092598233323182,0.1160808351690451,0.1140101832516014,0.11034607173998023,0.10871025266912149,0.10416666666666674,0.09245366284201229,0.09159891598915992,0.09024339933993408,0.08690476190476193,0.08449883449883444,0.08384900990099009,0.0834398976982097,0.08342374924653406,0.08133971291866027,0.07930465676944554,0.07741902731241757
2-2-4,u_on_y,none,500,700005,clean,,slack_plugin,para_boot,99,0.024252991994927475,0.2843404808317088,0.2534372785258681,0.24543605188766482,0.24185196466646353,0.2321616703380902,0.2280203665032028,0.22069214347996036,0.21742050533824314,0.20833333333333331,0.18490732568402474,0.18319783197831985,0.180486798679868,0.17380952380952386,0.16899766899766894,0.16769801980198018,0.1668797953964194,0.16684749849306812,0.16267942583732053,0.15860931353889102,0.15483805462483508
2-2-4,u_on_y,none,500,700005,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700005,clean,,gtest,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700005,clean,,kl_plugin,crt_cond,99,0.00014734581472931104,0.01991096286386404,0.01629179810107939,0.015569225244417229,0.014409437313728124,0.014371333143295952,0.013577566392019978,0.01351555491344359,0.012151338908812856,0.012017093408400924,0.010868818866258206,0.010755717366141317,0.010554373045003,0.009812384418192738,0.00959114591640002,0.009287817263709572,0.008919501051885027,0.008462292264772103,0.007974234157681198,0.00777409262265745,0.006986985435062917
2-2-4,u_on_y,none,500,700005,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700005,clean,,gtest,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,kl_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,kl_split,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,kl_crossfit,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,cf1_margin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,slack_plugin,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,gm_battery,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,gtest,para_boot,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,kl_plugin,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,gm_battery,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700006,clean,,gtest,crt_cond,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-2-4,u_on_y,none,500,700007,clean,,kl_plugin,para_boot,99,0.0018599845717945165,0.02822371916223132,0.021593444326023906,0.014407258788023007,0.013495101642611002,0.013334109181536519,0.010637545921516084,0.010398899566586614,0.008993861353514078,0.008622874929450713,0.008200037267055198,0.007827708491317649,0.007720382635649878,0.00759052678576036,0.0061085199853784244,0.005971438827378904,0.005885328147467485,0.005648278377529833,0.005539311583305555,0.005028747442661463,0.004858849426077505
