cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-4,A3_bursty_u_on_y,t3,2000,900009,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900009,,kl_split,none,0.00033826545947231515
2-2-4,A3_bursty_u_on_y,t3,2000,900009,,kl_crossfit,none,0.00033819799976438514
2-2-4,A3_bursty_u_on_y,t3,2000,900009,,cf1_margin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900009,,slack_plugin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900009,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900009,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900010,,kl_plugin,none,2.837236618486512e-17
2-2-4,A3_bursty_u_on_y,t3,2000,900010,,kl_split,none,0.012220427314401865
2-2-4,A3_bursty_u_on_y,t3,2000,900010,,kl_crossfit,none,0.012038298089918294
2-2-4,A3_bursty_u_on_y,t3,2000,900010,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900010,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900010,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900010,,gtest,none,166.85636875488893
2-2-4,A3_bursty_u_on_y,t3,2000,900011,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900011,,kl_split,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900011,,kl_crossfit,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900011,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900011,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900011,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900011,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900012,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900012,,kl_split,none,0.0009681058594063034
2-2-4,A3_bursty_u_on_y,t3,2000,900012,,kl_crossfit,none,0.0009681910990493245
2-2-4,A3_bursty_u_on_y,t3,2000,900012,,cf1_margin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900012,,slack_plugin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900012,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900012,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900013,,kl_plugin,none,0.11826311841019244
2-2-4,A3_bursty_u_on_y,t3,2000,900013,,kl_split,none,0.7309439553683296
2-2-4,A3_bursty_u_on_y,t3,2000,900013,,kl_crossfit,none,0.6934793109488413
2-2-4,A3_bursty_u_on_y,t3,2000,900013,,cf1_margin,none,0.3263157894736842
2-2-4,A3_bursty_u_on_y,t3,2000,900013,,slack_plugin,none,0.6526315789473685
2-2-4,A3_bursty_u_on_y,t3,2000,900013,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900013,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900014,,kl_plugin,none,0.0
