cell,tail,family,rho,n,seed,dt_stats_s,stat,engine,stat_obs
2-2-4,none,mixture,0.8,1000,800000,0.0062156459971447475,kl_plugin,none,0.7154422931546206
2-2-4,none,mixture,0.8,1000,800000,0.0062156459971447475,kl_split,none,0.8161790275169558
2-2-4,none,mixture,0.8,1000,800000,0.0062156459971447475,kl_crossfit,none,0.7616083577124411
2-2-4,none,mixture,0.8,1000,800000,0.0062156459971447475,cf1_margin,none,0.76953125
2-2-4,none,mixture,0.8,1000,800000,0.0062156459971447475,slack_plugin,none,1.5390625
2-2-4,none,mixture,0.8,1000,800000,0.0062156459971447475,gm_battery,none,0.0
2-2-4,none,mixture,0.8,1000,800000,0.0062156459971447475,gtest,none,58.325628772086496
2-2-4,none,mixture,0.8,1000,800001,0.005348509999748785,kl_plugin,none,0.7120853957874512
2-2-4,none,mixture,0.8,1000,800001,0.005348509999748785,kl_split,none,0.8089895909154813
2-2-4,none,mixture,0.8,1000,800001,0.005348509999748785,kl_crossfit,none,0.7529196552010937
2-2-4,none,mixture,0.8,1000,800001,0.005348509999748785,cf1_margin,none,0.7732219448178734
2-2-4,none,mixture,0.8,1000,800001,0.005348509999748785,slack_plugin,none,1.5464438896357466
2-2-4,none,mixture,0.8,1000,800001,0.005348509999748785,gm_battery,none,0.0
2-2-4,none,mixture,0.8,1000,800001,0.005348509999748785,gtest,none,60.724427962356174
2-2-4,none,mixture,0.8,1000,800002,0.0053180570030235685,kl_plugin,none,0.7229433051099385
2-2-4,none,mixture,0.8,1000,800002,0.0053180570030235685,kl_split,none,0.7683727777188785
2-2-4,none,mixture,0.8,1000,800002,0.0053180570030235685,kl_crossfit,none,0.7627214707512207
2-2-4,none,mixture,0.8,1000,800002,0.0053180570030235685,cf1_margin,none,0.7639830559322237
2-2-4,none,mixture,0.8,1000,800002,0.0053180570030235685,slack_plugin,none,1.5279661118644472
2-2-4,none,mixture,0.8,1000,800002,0.0053180570030235685,gm_battery,none,0.0
2-2-4,none,mixture,0.8,1000,800002,0.0053180570030235685,gtest,none,80.28075159152542
2-2-4,none,mixture,0.8,1000,800003,0.006113693998486269,kl_plugin,none,0.74417264581605
2-2-4,none,mixture,0.8,1000,800003,0.006113693998486269,kl_split,none,0.8602876340251322
