cell,tail,family,rho,n,seed,dt_stats_s,stat,engine,stat_obs
2-2-5,t3,mixture,0.6,500,800000,0.012245598001754843,kl_plugin,none,0.07391439215754043
2-2-5,t3,mixture,0.6,500,800000,0.012245598001754843,kl_split,none,1.1381495259439292
2-2-5,t3,mixture,0.6,500,800000,0.012245598001754843,kl_crossfit,none,1.4623179181306614
2-2-5,t3,mixture,0.6,500,800000,0.012245598001754843,cf1_margin,none,0.269978020567615
2-2-5,t3,mixture,0.6,500,800000,0.012245598001754843,slack_plugin,none,0.5399560411352295
2-2-5,t3,mixture,0.6,500,800000,0.012245598001754843,gm_battery,none,0.0
2-2-5,t3,mixture,0.6,500,800000,0.012245598001754843,gtest,none,330.1877076193057
2-2-5,t3,mixture,0.6,500,800001,0.00965109500248218,kl_plugin,none,0.04363843711696011
2-2-5,t3,mixture,0.6,500,800001,0.00965109500248218,kl_split,none,1.1255906560247861
2-2-5,t3,mixture,0.6,500,800001,0.00965109500248218,kl_crossfit,none,0.6980211068811897
2-2-5,t3,mixture,0.6,500,800001,0.00965109500248218,cf1_margin,none,0.2073717948717947
2-2-5,t3,mixture,0.6,500,800001,0.00965109500248218,slack_plugin,none,0.4147435897435897
2-2-5,t3,mixture,0.6,500,800001,0.00965109500248218,gm_battery,none,0.0
2-2-5,t3,mixture,0.6,500,800001,0.00965109500248218,gtest,none,279.49551033855124
2-2-5,t3,mixture,0.6,500,800002,0.0047807079972699285,kl_plugin,none,0.08485716046027367
2-2-5,t3,mixture,0.6,500,800002,0.0047807079972699285,kl_split,none,2.5848328032534837
2-2-5,t3,mixture,0.6,500,800002,0.0047807079972699285,kl_crossfit,none,1.3561340365831673
2-2-5,t3,mixture,0.6,500,800002,0.0047807079972699285,cf1_margin,none,0.28839823364110806
2-2-5,t3,mixture,0.6,500,800002,0.0047807079972699285,slack_plugin,none,0.576796467282216
2-2-5,t3,mixture,0.6,500,800002,0.0047807079972699285,gm_battery,none,0.0
2-2-5,t3,mixture,0.6,500,800002,0.0047807079972699285,gtest,none,268.96897537205484
2-2-5,t3,mixture,0.6,500,800003,0.005266739004582632,kl_plugin,none,0.05572138259931038
2-2-5,t3,mixture,0.6,500,800003,0.005266739004582632,kl_split,none,1.103681047796039
2-2-5,t3,mixture,0.6,500,800003,0.005266739004582632,kl_crossfit,none,3.3884353529494042
2-2-5,t3,mixture,0.6,500,800003,0.005266739004582632,cf1_margin,none,0.2340548155737705
2-2-5,t3,mixture,0.6,500,800003,0.005266739004582632,slack_plugin,none,0.4681096311475409
2-2-5,t3,mixture,0.6,500,800003,0.005266739004582632,gm_battery,none,0.0
2-2-5,t3,mixture,0.6,500,800003,0.005266739004582632,gtest,none,317.64977339639285
2-2-5,t3,mixture,0.6,500,800004,0.0051038609963143244,kl_plugin,none,0.029170028989368366
2-2-5,t3,mixture,0.6,500,800004,0.0051038609963143244,kl_split,none,0.6114221998320077
2-2-5,t3,mixture,0.6,500,800004,0.0051038609963143244,kl_crossfit,none,2.8824832286149533
2-2-5,t3,mixture,0.6,500,800004,0.0051038609963143244,cf1_margin,none,0.16912141393442637
2-2-5,t3,mixture,0.6,500,800004,0.0051038609963143244,slack_plugin,none,0.3382428278688524
2-2-5,t3,mixture,0.6,500,800004,0.0051038609963143244,gm_battery,none,0.0
2-2-5,t3,mixture,0.6,500,800004,0.0051038609963143244,gtest,none,304.80248217277057
2-2-5,t3,mixture,0.6,500,800005,0.0045575650001410395,kl_plugin,none,0.07979789250198827
2-2-5,t3,mixture,0.6,500,800005,0.0045575650001410395,kl_split,none,0.138519067678954
2-2-5,t3,mixture,0.6,500,800005,0.0045575650001410395,kl_crossfit,none,1.8703168886862143
2-2-5,t3,mixture,0.6,500,800005,0.0045575650001410395,cf1_margin,none,0.27972521828454033
