kind,noise,n,d,method,trim,n_datasets,size_05,mean_cv05
null_gauss,gauss,500,2,hsic,0.0,100,0.0,0.004106151050360715
null_gauss,gauss,500,2,k1,0.0,100,0.0,0.011523469083739381
null_gauss,gauss,500,2,k1,0.01,100,0.0,0.011208979604185763
null_gauss,gauss,500,2,k1,0.05,100,0.0,0.011924496040313544
null_gauss,gauss,500,2,k2,0.0,100,0.01,0.31173378682862923
null_gauss,gauss,500,2,k2,0.01,100,0.02,0.26018896588862434
null_gauss,gauss,500,2,k2,0.05,100,0.02,0.22715099207366804
null_gauss,gauss,500,3,hsic,0.0,100,0.0,0.004106151050360715
null_gauss,gauss,500,3,k1,0.0,100,0.0,0.011523469083739381
null_gauss,gauss,500,3,k1,0.01,100,0.0,0.011208979604185763
null_gauss,gauss,500,3,k1,0.05,100,0.0,0.011924496040313544
null_gauss,gauss,500,3,k2,0.0,100,0.01,0.31173378682862923
null_gauss,gauss,500,3,k2,0.01,100,0.02,0.26018896588862434
null_gauss,gauss,500,3,k2,0.05,100,0.02,0.22715099207366804
null_gauss,gauss,500,5,hsic,0.0,100,0.0,0.004106151050360715
null_gauss,gauss,500,5,k1,0.0,100,0.0,0.011523469083739381
null_gauss,gauss,500,5,k1,0.01,100,0.0,0.011208979604185763
null_gauss,gauss,500,5,k1,0.05,100,0.0,0.011924496040313544
null_gauss,gauss,500,5,k2,0.0,100,0.01,0.31173378682862923
null_gauss,gauss,500,5,k2,0.01,100,0.02,0.26018896588862434
null_gauss,gauss,500,5,k2,0.05,100,0.02,0.22715099207366804
null_gauss,gauss,2000,2,hsic,0.0,100,0.0,0.0032071703686896587
null_gauss,gauss,2000,2,k1,0.0,100,0.0,0.00790349214604884
null_gauss,gauss,2000,2,k1,0.01,100,0.0,0.007882359866452627
null_gauss,gauss,2000,2,k1,0.05,100,0.0,0.008068096823330248
null_gauss,gauss,2000,2,k2,0.0,100,0.01,0.2459306180067021
null_gauss,gauss,2000,2,k2,0.01,100,0.02,0.19953147603318144
null_gauss,gauss,2000,2,k2,0.05,100,0.02,0.1724483958844954
null_gauss,gauss,2000,3,hsic,0.0,100,0.0,0.0032071703686896587
null_gauss,gauss,2000,3,k1,0.0,100,0.0,0.00790349214604884
null_gauss,gauss,2000,3,k1,0.01,100,0.0,0.007882359866452627
null_gauss,gauss,2000,3,k1,0.05,100,0.0,0.008068096823330248
null_gauss,gauss,2000,3,k2,0.0,100,0.01,0.2459306180067021
null_gauss,gauss,2000,3,k2,0.01,100,0.02,0.19953147603318144
null_gauss,gauss,2000,3,k2,0.05,100,0.02,0.1724483958844954
null_gauss,gauss,2000,5,hsic,0.0,100,0.0,0.0032071703686896587
null_gauss,gauss,2000,5,k1,0.0,100,0.0,0.00790349214604884
null_gauss,gauss,2000,5,k1,0.01,100,0.0,0.007882359866452627
null_gauss,gauss,2000,5,k1,0.05,100,0.0,0.008068096823330248
null_gauss,gauss,2000,5,k2,0.0,100,0.01,0.2459306180067021
null_gauss,gauss,2000,5,k2,0.01,100,0.02,0.19953147603318144
null_gauss,gauss,2000,5,k2,0.05,100,0.02,0.1724483958844954
null_gauss,gauss,8000,2,hsic,0.0,100,0.0,0.0032268928262463494
null_gauss,gauss,8000,2,k1,0.0,100,0.04,0.04532464506956526
null_gauss,gauss,8000,2,k1,0.01,100,0.03,0.04371526995798107
null_gauss,gauss,8000,2,k1,0.05,100,0.04,0.04014830098481759
null_gauss,gauss,8000,2,k2,0.0,100,0.01,0.17596485101485057
