adv_id,n,d,noise,seed,method,trim,B,stat_obs,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
B1_selection_trunc,5000,2,gauss,900000,k1,0.05,99,0.006022223632045187,0.014074761126794066,0.012623058891791716,0.01206781370386456,0.01172815033189678,0.011607999195322849,0.011416164228783776,0.01122271878671044,0.01098796367857513,0.010946360124066024,0.01082668958248012,0.010698313678122018,0.010604943459491922,0.010497213527735472,0.01012813613027519,0.010013322014623904,0.009680320429051426,0.009580225865324699,0.00955150695354523,0.00952146360186501,0.009493503970588901
B1_selection_trunc,5000,2,gauss,900000,k2,0.05,99,0.08829929219859693,0.2835667965531685,0.2041206235893802,0.17748564086397126,0.17226218897222487,0.1629117970050593,0.15019769601097302,0.14825772777414264,0.1385786573665695,0.13849166390362594,0.1363419801250077,0.13462459023380552,0.1327971383033316,0.1310697117219276,0.12525083747866556,0.12356254282369793,0.12235807745479171,0.12221731493559145,0.12118209400515348,0.12022660774851948,0.11648949986547842
B1_selection_trunc,5000,2,gauss,900000,hsic,0.0,99,0.0007748570110941251,0.00388339506663948,0.0025429558728691667,0.0021946326400299225,0.00217613291558688,0.0021675329738551517,0.0021393273273108034,0.002051702452406956,0.0020440620914479552,0.0019314352778309822,0.0019137458999182147,0.0017177982582937202,0.0016629479652838868,0.001609972646506285,0.00160678746418166,0.0015733679663868848,0.0015175887951859117,0.0014787032302548272,0.0014683590788525192,0.0014434311666202562,0.0013716452596617792
B1_selection_trunc,5000,2,gauss,900001,k1,0.05,99,0.002546670569068432,0.014585125836717339,0.01404614825723205,0.01393569842987108,0.013552389526140574,0.013535117534687613,0.013346423956610565,0.012988674439657899,0.01244516661531514,0.0122076917875108,0.012179963435139163,0.011913024301337782,0.011840237726732594,0.010833121334148044,0.010714481053001212,0.010066571370761723,0.009929691272221208,0.009891506714747367,0.009862203286706173,0.009620306233940168,0.009619637213519439
B1_selection_trunc,5000,2,gauss,900001,k2,0.05,99,0.05641265267089994,0.18726601271896842,0.16630086176342718,0.1526613441303568,0.14833392814821594,0.14609952511665117,0.14252841899515073,0.13857291008069517,0.13803701032868163,0.13646569541561443,0.13631693281209528,0.12575828128115585,0.1256883187829928,0.12212838185895494,0.1219079840860153,0.12177093611322466,0.1185633900183572,0.11688906850938044,0.11590352526572406,0.11589730612122452,0.1140731589011677
B1_selection_trunc,5000,2,gauss,900001,hsic,0.0,99,0.0012645795684308862,0.0031487688322268605,0.003016542954601962,0.002944347309336653,0.002714041014614113,0.0025795862607015975,0.0025026062369058566,0.002240252806675259,0.0022069700752590012,0.0021840151765610714,0.002175741742197779,0.002165054284607363,0.002012818894070446,0.001997407473323036,0.001953370496078238,0.0019362458415324284,0.0018701289730719297,0.0018282644616396699,0.0018256913821458845,0.0017486354775413627,0.0017360403466506191
B1_selection_trunc,5000,2,gauss,900002,k1,0.05,99,0.002557687402031994,0.019688019987228245,0.015953470861523877,0.015409379304684667,0.014773187678326472,0.014454595845892704,0.012512172897283125,0.012430557717406643,0.012219884976931272,0.011975821648542162,0.011641925666213693,0.011530898740419793,0.011518672855844181,0.011496299328918824,0.010603540011509982,0.010526194088608776,0.010244911206086171,0.010198623721688338,0.010195545706005449,0.009912284062024601,0.009832175155588985
B1_selection_trunc,5000,2,gauss,900002,k2,0.05,99,0.05955793501864204,0.20056461504340203,0.16468778933830217,0.15798532875086851,0.15226160708054837,0.13675583990114293,0.13488276260521992,0.13226735823116478,0.13214948048146466,0.12891142181510004,0.12285236595996864,0.1217829484296768,0.11952213776289196,0.11939395006710908,0.11685618803170662,0.11632322643919468,0.11535066818308981,0.11482210460573263,0.11282088566279277,0.1113378856174506,0.11106231708619274
B1_selection_trunc,5000,2,gauss,900002,hsic,0.0,99,0.001182475265859865,0.0026590523358990745,0.002639529961292044,0.0024060885578646002,0.002328036779269486,0.0021784852693200693,0.0021558025418902814,0.0021462322638042364,0.002109413483395809,0.0021030523413974847,0.002062276840004725,0.0020495606921791445,0.001963285316055763,0.0019409361036360018,0.0019368020681993716,0.0019117157145759531,0.0018677826692218766,0.0017440355733397627,0.0017071089340518761,0.0016979268905420015,0.0016867668752605603
B1_selection_trunc,5000,2,gauss,900003,k1,0.05,99,0.004314817913004587,0.015343660384653068,0.014527465381051208,0.013190527115467532,0.01191950806890707,0.011357643952349838,0.011051584800828018,0.010900622101740476,0.010508790889699804,0.010368976008450104,0.010137157211245418,0.01009688617787674,0.01001274713339284,0.00959404694783017,0.009513696961235274,0.0092470326695554,0.009207991744632604,0.009115411984261357,0.008994918852470168,0.008870958945490615,0.008865892273788756
B1_selection_trunc,5000,2,gauss,900003,k2,0.05,99,0.0874449310226208,0.20080193051621037,0.1708741684427586,0.16416991664069816,0.15824930547932758,0.15679253159661904,0.13344025315140431,0.1320494477880789,0.1303935294847353,0.12714122159307237,0.12382218595940887,0.12193818450831144,0.1187829052938963,0.1167911349649832,0.11618705741182558,0.11489613549619528,0.11429128930688302,0.11389705359162333,0.10836791268100014,0.10666637092282942,0.10411586258366139
