n,d,noise,kind,seed,method,trim,B,stat_obs,dt_boot_s,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
20000,2,t3,null_gauss,400000,k1,0.05,199,0.00686312886837126,20.14669981499901,0.012415647717564204,0.011597870871529414,0.011334974674210407,0.01116750249834142,0.010979418062430302,0.010929654907597453,0.01051240883708815,0.010436443528271888,0.010080564681153037,0.010044168868828307,0.009973647490125415,0.009800090587846255,0.009659895469547708,0.009624265906021057,0.009359309265452809,0.009306987138277156,0.009196666795476482,0.009092476778629455,0.0090722241878749,0.00903442006025168
20000,2,t3,null_gauss,400000,k2,0.05,199,0.0935735902050007,20.14669981499901,0.13590721395747288,0.1291337460971439,0.12572612976626624,0.11680396346186434,0.11423967312480182,0.11004190766121108,0.10278380269279702,0.10026404509372906,0.09431973914547086,0.09402352977501366,0.09255315726147911,0.09196067009444196,0.08817637742531861,0.08517901587185985,0.08281032353705099,0.0814194204082437,0.08107903604841322,0.07964005251705368,0.07928634301314853,0.0786736029504879
20000,2,t3,null_gauss,400000,hsic,0.0,199,0.0034957936499221626,20.14669981499901,0.007775111268199915,0.007094132110632702,0.0069768626691913554,0.006761674136516436,0.006672383558435445,0.0061364594330912976,0.0060321341181055034,0.0058436153922458885,0.005736465530221976,0.00565823127294669,0.005647218477560376,0.005536601794146134,0.0054105790921711965,0.005356321998143556,0.005337358424590034,0.005244393671084361,0.005165009381607976,0.005121629711092898,0.00511575304074389,0.0050993051862525274
20000,2,t3,null_gauss,400001,k1,0.05,199,0.0052835815687317655,20.337983867997536,0.01489398805551656,0.014203049402966683,0.012722214797690645,0.012327481001172425,0.01186565647581006,0.011746626185513809,0.011515280381247495,0.01125408816412754,0.010981973958440694,0.010855247081911545,0.010762164289071618,0.010753985413503142,0.010495337115801195,0.010421313102486396,0.010330350008525224,0.010105006744081102,0.009891856110423425,0.00974296186317436,0.009650782000391267,0.009614944693042471
20000,2,t3,null_gauss,400001,k2,0.05,199,0.0502528989020396,20.337983867997536,0.164174845851282,0.14914200703229508,0.1390888443642555,0.1371214211482679,0.12348078474706987,0.12074701912106499,0.1137410129177354,0.10878497368985282,0.10651503596301172,0.10219450419963849,0.09956278575622714,0.0977739378886269,0.09590879373417838,0.09459730366114312,0.09208934051571346,0.0897998500032195,0.08707005496573182,0.08549517285171074,0.08389795710600942,0.08346755744426308
20000,2,t3,null_gauss,400001,hsic,0.0,199,0.0011490948160483756,20.337983867997536,0.004954059975938921,0.004809857357600181,0.004325878995425329,0.004281164005144673,0.004127696008552108,0.003984766161468688,0.00390830777053658,0.0038496010503811747,0.0037470209332154114,0.0036415535085923935,0.003601149405518202,0.003532022812394378,0.0034731113280266394,0.003303358995988006,0.0032651758727925014,0.0032048930419013985,0.0031207201171144267,0.0030986435391709435,0.003056855636523065,0.0029522380571011626
20000,2,t3,null_gauss,400002,k1,0.05,199,0.006729749180615863,19.2745976590013,0.014782169609045659,0.013781755748196844,0.013196586356306828,0.01232576554533793,0.012264545676426652,0.012003340261342865,0.011880376365631773,0.011773969059333145,0.011657136342708596,0.01132764089157201,0.01123300708474817,0.011161474908657265,0.010969980270660429,0.010875696730589413,0.010474286263783328,0.010358092085734683,0.009911726300801615,0.009872574139278001,0.009751325592852411,0.009613309097977862
20000,2,t3,null_gauss,400002,k2,0.05,199,0.034202956202225535,19.2745976590013,0.17325801238316166,0.1424329458008583,0.13349569956144838,0.11369601816286327,0.10732906064488863,0.10427529829486606,0.10318631815032447,0.0977935992327787,0.0965507571269534,0.09401200651270349,0.08902450478059178,0.08726180256873156,0.08615629948487626,0.08552540754877139,0.08501096663695253,0.08273467905818943,0.07912938577469492,0.07837171509084605,0.07699180729675982,0.07609642218246723
20000,2,t3,null_gauss,400002,hsic,0.0,199,0.0012581760563732348,19.2745976590013,0.005045671781168569,0.004490383082153986,0.0038914840096327063,0.003791881995799635,0.0035749544889364386,0.0035376349026081852,0.003514716453806885,0.0033089159724428384,0.0032696902446555966,0.0031175507527778693,0.0030899197642511567,0.003060020122609518,0.002990377783135518,0.002907141207965556,0.002873612807530111,0.0028558508820853657,0.0028244489894502403,0.0027817975748493724,0.0027552434079230657,0.0027398824945828555
20000,2,t3,null_gauss,400003,k1,0.05,199,0.014006702210403676,19.653753817998222,0.015219820671233841,0.013718584754433105,0.01299491668208086,0.012471740833403189,0.012463689949908097,0.012131830797001197,0.011604650732497834,0.011200280835255927,0.010843004321252847,0.010553233802785389,0.010407675472084321,0.010319453328287653,0.010060665465746577,0.00999988909087235,0.009913056318836544,0.009698842158714638,0.009419838378225576,0.009235450346840368,0.009082421716560707,0.009020420716392641
20000,2,t3,null_gauss,400003,k2,0.05,199,0.075133490368546,19.653753817998222,0.1634816861181542,0.15082469345321722,0.12874853259786426,0.12091476461115033,0.1177942261825101,0.11069071245637528,0.10879923978108752,0.10634477001965469,0.10373139976284787,0.10119197502754608,0.09988216682506659,0.0962823094968962,0.0940989496659248,0.09290881039772816,0.09245540988540821,0.09187008855666659,0.08959339514078839,0.0881522228823418,0.08589095293681515,0.08438842290161991
20000,2,t3,null_gauss,400003,hsic,0.0,199,0.002459314671660958,19.653753817998222,0.008041602299284445,0.007791204847273165,0.0074079113485077,0.006752510316450626,0.006264674680422435,0.005602370594204491,0.0053152452049088856,0.005153572236266086,0.005088966227323298,0.005058534020137235,0.00475130731857041,0.004717771601070304,0.004562965245162367,0.004383833850571241,0.004316474753968133,0.004213218043695163,0.004131663273481934,0.004011963561444083,0.003993737966434252,0.003932493900338914
20000,2,t3,null_gauss,400004,k1,0.05,199,0.007864840536453421,20.33579026899679,0.016600268288812448,0.014966306030298027,0.014500493869149866,0.013487330667985575,0.013174745648040553,0.012113205168787777,0.011754188676403543,0.011587446651749933,0.011391562626164475,0.01064400987409897,0.010516568822392047,0.010165807756905787,0.010027247946451379,0.009962336871084387,0.009814647335675164,0.009801630405505857,0.009678228004423195,0.009608185592810736,0.009519323001742741,0.009469850207725061
20000,2,t3,null_gauss,400004,k2,0.05,199,0.08166329228812139,20.33579026899679,0.15168375538634873,0.14164257978420686,0.13397500108768529,0.12296695069204709,0.12045159325033278,0.11752931008772131,0.11307381871072227,0.1099110910366287,0.10499635462117264,0.09513786689741852,0.09436413095304148,0.09349031298500436,0.0914568894075795,0.08842976490896443,0.08264612941539473,0.08151048294327562,0.08024928946570954,0.07959417128704754,0.07735772399706368,0.0768127639352629
20000,2,t3,null_gauss,400004,hsic,0.0,199,0.0007799621607434658,20.33579026899679,0.004204416568551028,0.003915194320454969,0.00366528231719156,0.003539441439256818,0.0034904128017773403,0.003369576459115924,0.0032544054419871506,0.0031767562868226526,0.0029444297696274405,0.0028379777704214478,0.0027807482394233084,0.0027208995870799755,0.0027177794396553603,0.0026954602977840685,0.0026868339295401597,0.002641145660483768,0.002588575071614148,0.0025599687139929435,0.002546791821073054,0.002475456290453926
20000,2,t3,null_gauss,400005,k1,0.05,199,0.00673537928582113,18.843784928998502,0.013817145342651882,0.012138031817940265,0.011772558214878548,0.011505960626159495,0.011198488227399883,0.010978130480236326,0.0105692911200852,0.010353806868583004,0.010332078082654128,0.010224200306424236,0.010032947964686012,0.00998390380101688,0.009958363624480437,0.009741673724257272,0.009649069236681407,0.009399114355460259,0.00925940598592212,0.009104264435229381,0.009014837189450509,0.008928538453964352
20000,2,t3,null_gauss,400005,k2,0.05,199,0.04218699273721558,18.843784928998502,0.15254986133640208,0.12232694554801062,0.1109294172910342,0.10518562965226685,0.10470600742412971,0.10300949859625362,0.10167697903964082,0.09919661019446174,0.09680936757530129,0.0961726619771327,0.0949167729928268,0.09297591425855117,0.09013057642186668,0.08837869015861922,0.08709350971137586,0.08410377120314262,0.07987200573121352,0.07950869299277563,0.07794938858706311,0.07482798658785189
