n,d,noise,kind,seed,method,trim,B,stat_obs,dt_boot_s,cv_0.01,cv_0.02,cv_0.03,cv_0.04,cv_0.05,cv_0.06,cv_0.07,cv_0.08,cv_0.09,cv_0.10,cv_0.11,cv_0.12,cv_0.13,cv_0.14,cv_0.15,cv_0.16,cv_0.17,cv_0.18,cv_0.19,cv_0.20
20000,5,gauss,null_nonparam,400000,k1,0.0,49,0.009268401867938092,26.398989195993636,0.01802367777845537,0.01802367777845537,0.013236961942976855,0.013236961942976855,0.011731942556299058,0.011731942556299058,0.011629820522463086,0.011629820522463086,0.011051928730888116,0.011051928730888116,0.010771597750160788,0.010771597750160788,0.010162526181684561,0.010162526181684561,0.010139607258250916,0.010139607258250916,0.009879652358686486,0.009879652358686486,0.009786785289628397,0.009786785289628397
20000,5,gauss,null_nonparam,400000,k1,0.01,49,0.009121315699563759,26.398989195993636,0.014012700809999501,0.014012700809999501,0.01250531947872846,0.01250531947872846,0.012268490892883399,0.012268490892883399,0.011289947493463903,0.011289947493463903,0.011185077530546095,0.011185077530546095,0.011131323158994566,0.011131323158994566,0.010795433433044344,0.010795433433044344,0.010394465131937425,0.010394465131937425,0.010128044817689585,0.010128044817689585,0.00985814797378226,0.00985814797378226
20000,5,gauss,null_nonparam,400000,k1,0.05,199,0.009030591853122494,26.398989195993636,0.01516762334364219,0.014230106346549531,0.013485204594316458,0.013109897872819354,0.012438978425079239,0.011982979481356848,0.01171724599907975,0.011601411891310587,0.011460642660353182,0.011211138283237165,0.010815511377353593,0.010695405469942854,0.010450678062171814,0.01039022651616106,0.010160474779820516,0.010120900630874785,0.010054454057263795,0.009875843101406767,0.009736561647048614,0.009565863573907207
20000,5,gauss,null_nonparam,400000,k2,0.0,49,0.06983464949835602,26.398989195993636,0.14085571577071523,0.14085571577071523,0.1298595805973488,0.1298595805973488,0.12920288619200132,0.12920288619200132,0.1269428844050306,0.1269428844050306,0.11360955069656492,0.11360955069656492,0.1122526224138919,0.1122526224138919,0.10803288415176893,0.10803288415176893,0.10531478887366631,0.10531478887366631,0.10505215640327357,0.10505215640327357,0.10497452830851964,0.10497452830851964
20000,5,gauss,null_nonparam,400000,k2,0.01,49,0.038553193656057354,26.398989195993636,0.09963001888415754,0.09963001888415754,0.08050660548075231,0.08050660548075231,0.07800238153114665,0.07800238153114665,0.07543512542565442,0.07543512542565442,0.07396565761049104,0.07396565761049104,0.06794343200996197,0.06794343200996197,0.06477946757684624,0.06477946757684624,0.06358899840016946,0.06358899840016946,0.06064625036183913,0.06064625036183913,0.05825081695613447,0.05825081695613447
20000,5,gauss,null_nonparam,400000,k2,0.05,199,0.03489256157602972,26.398989195993636,0.11689057898409322,0.08345355351021698,0.08063979205705575,0.07838590663854754,0.07380975115104668,0.07194165480659562,0.07141021801499735,0.07031051321112856,0.07000648460066873,0.06759248139247001,0.06557649320777727,0.06307973964661641,0.060073550627941424,0.059486239230189045,0.058122092806956065,0.057687165402934726,0.05639715477352344,0.05592346277589029,0.05572012288534015,0.05505859790070305
20000,5,gauss,null_nonparam,400000,hsic,0.0,199,0.002048449562297984,26.398989195993636,0.005200995082886041,0.0044007686053038906,0.0042828610709191774,0.004069368020301767,0.0038937690984394264,0.003742521432442979,0.0036683396653439198,0.0036245144642629034,0.0035817319562075427,0.0035380666716719133,0.0034683747465132564,0.0034619009852839,0.003423049645603647,0.0033912896630419126,0.0032936016955954187,0.0032692163477886305,0.00323757489766911,0.003202172725857143,0.0031581047206762185,0.0031278263470042814
20000,5,gauss,null_nonparam,400001,k1,0.0,49,0.004005871035622777,26.335608829002012,0.013157476799479983,0.013157476799479983,0.012368495872042362,0.012368495872042362,0.012230823744097785,0.012230823744097785,0.011647108595638556,0.011647108595638556,0.011646285827173974,0.011646285827173974,0.010929355505888139,0.010929355505888139,0.01067591748815544,0.01067591748815544,0.010631136028464327,0.010631136028464327,0.010369690436976886,0.010369690436976886,0.010277571536936758,0.010277571536936758
20000,5,gauss,null_nonparam,400001,k1,0.01,49,0.003909818705182033,26.335608829002012,0.01411249527168379,0.01411249527168379,0.011684031779531145,0.011684031779531145,0.011530758113527217,0.011530758113527217,0.011210589016663941,0.011210589016663941,0.011192942891387947,0.011192942891387947,0.010819421305107713,0.010819421305107713,0.010614887272259232,0.010614887272259232,0.009645809433073471,0.009645809433073471,0.009642107741679617,0.009642107741679617,0.009376189552584901,0.009376189552584901
20000,5,gauss,null_nonparam,400001,k1,0.05,199,0.0036559153511622755,26.335608829002012,0.0167134070120607,0.01291035826880449,0.012531764078314467,0.012247878999548156,0.01185257393229866,0.0117423011166915,0.011605191882791743,0.011358312797111414,0.010982916891288386,0.01088096932242677,0.010681102103412776,0.010391442985383192,0.010223555742637003,0.009854870319607412,0.00979006981188002,0.009583320446870158,0.009395616378727767,0.009130156723925698,0.00893508148429778,0.00885150437867821
